token,symbol,exch_seg
757953,EUROBOND-EQ,NSE
757970,712LTFL27-N0,NSE
757975,91D301025-TB,NSE
758139,920SCL28-N0,NSE
758141,758ABHFL35-N0,NSE
758150,MBEL-EQ,NSE
758171,724CANF28-N0,NSE
758178,NIKITA-SM,NSE
758200,627TN29-SG,NSE
758296,670RECL29-N0,NSE
758444,SAWALIYA-SM,NSE
758531,116VCCL27-N0,NSE
758584,709TN35A-SG,NSE
758608,AAFS29B-N0,NSE
758680,REGAAL-EQ,NSE
758685,MRIL-SM,NSE
758720,752HR39-SG,NSE
758748,MEIL-EQ,NSE
758843,674MH29-SG,NSE
758874,773AIFL26-N0,NSE
758883,748MP42-SG,NSE
758886,91D111225-TB,NSE
758919,773RJ55-SG,NSE
758986,GCSL-EQ,NSE
758991,765TPREL40-N0,NSE
759029,727MH36-SG,NSE
759037,744KL50-SG,NSE
759046,182D260326-TB,NSE
759056,SIDDHICOTS-ST,NSE
759146,755TCSL28-N0,NSE
759165,677OR29-SG,NSE
759166,714NL30-SG,NSE
759188,743HR39-SG,NSE
759249,950ISF35-N0,NSE
759320,737GA36-SG,NSE
759339,91D020126-TB,NSE
759453,VIKRAMSOLR-EQ,NSE
759756,TAURIAN-SM,NSE
759762,850KGEL30-N0,NSE
759925,COOLCAP-RE-ST,NSE
7610,VIVO-SM,NSE
7648,820IIFL27-N9,NSE
759949,714SECIL35-N0,NSE
7654,SGBDEC26-GB,NSE
7668,843IHFL29-NC,NSE
7672,IMAGICAA-EQ,NSE
7662,850IIFL27-NA,NSE
7679,MONARCH-EQ,NSE
7693,71KA32-SG,NSE
7694,718KA33-SG,NSE
7707,722KA35-SG,NSE
776,656MH30-SG,NSE
7710,714WB32-SG,NSE
7857,723WB32-SG,NSE
7859,733KA40-SG,NSE
7900,727SK32-SG,NSE
7979,MAKEINDIA-EQ,NSE
804,SHIVATEX-EQ,NSE
805,DCM-EQ,NSE
8140,734MN32-SG,NSE
8182,MOMOMENTUM-EQ,NSE
8193,713AP40-SG,NSE
8266,SOFTTECH-EQ,NSE
8292,71TN32-SG,NSE
8298,713BR32-SG,NSE
8332,717WB32-SG,NSE
8334,712JK37-SG,NSE
8336,713HR42-SG,NSE
852,642GA30-SG,NSE
8496,739JK37-SG,NSE
8546,CHALET-EQ,NSE
8570,713TN30-SG,NSE
8575,726HR32-SG,NSE
8578,737RJ34-SG,NSE
8591,AKSHOPTFBR-EQ,NSE
864,655AP33-SG,NSE
8652,VETO-EQ,NSE
8657,DIL-EQ,NSE
8678,ABSLFTTQRN-MF,NSE
8685,73TN32-SG,NSE
8689,734UK32-SG,NSE
8696,VRLLOG-EQ,NSE
881,DRREDDY-EQ,NSE
8719,739TN42-SG,NSE
8797,OBCL-EQ,NSE
8840,USHAMART-EQ,NSE
913,EQUITASBNK-EQ,NSE
8930,729AP34-SG,NSE
9099,748PN42-SG,NSE
9111,ARVINDFASN-EQ,NSE
9277,889SCL27-YT,NSE
9362,CAMPUS-EQ,NSE
9383,EMBASSY-RR,NSE
9451,778AP42-SG,NSE
9570,KHFM-SM,NSE
969,675RJ30-SG,NSE
9683,KPITTECH-EQ,NSE
9725,772RJ35-SG,NSE
981,EPL-EQ,NSE
9750,ETHOSLTD-EQ,NSE
9769,EASTSILK-BE,NSE
9771,777GJ31-SG,NSE
9819,HAVELLS-EQ,NSE
9824,802TS35-SG,NSE
9834,799TN42-SG,NSE
9862,WEWIN-EQ,NSE
9888,769GS2043-GS,NSE
9939,ONEPOINT-EQ,NSE
756905,686NHPCL37-N0,NSE
756908,676JK31-SG,NSE
756912,688AP40-SG,NSE
756916,12VCCL29B-N0,NSE
756932,686NHPCL32-N0,NSE
756954,915PFL27-N0,NSE
756961,MONOLITH-ST,NSE
756963,PATILAUTOM-SM,NSE
757,CRISIL-EQ,NSE
757035,668HR38-SG,NSE
757038,689PN46-SG,NSE
757039,689RJ48-SG,NSE
757041,686RJ52-SG,NSE
757110,669GJ35-SG,NSE
757111,671TN35A-SG,NSE
757170,930APMD32-N0,NSE
757172,930APMD33-N0,NSE
757384,682AP36-SG,NSE
757391,692TS44-SG,NSE
757397,694KL62-SG,NSE
757399,661AP34-SG,NSE
757425,60TN28-SG,NSE
757428,665AP34-SG,NSE
757437,708AP40A-SG,NSE
757467,SCL010825-NB,NSE
757470,902SCL30-NE,NSE
757551,704HR40-SG,NSE
757552,704MH40-SG,NSE
757555,71WB50-SG,NSE
757608,975SCL35-N0,NSE
757657,91D091025-TB,NSE
757672,182D080126-TB,NSE
757673,364D090726-TB,NSE
757702,74342PHF30-N0,NSE
757713,711WB44-SG,NSE
757714,71KL45-SG,NSE
757733,686AS35-SG,NSE
757740,714TS49-SG,NSE
757746,182D010126-TB,NSE
757748,694RJ35-SG,NSE
757752,715HR40-SG,NSE
757767,SAMBHV-EQ,NSE
757839,9PFL27-N0,NSE
757841,91PFL30-N0,NSE
757892,111ESFB31-N0,NSE
757898,719JCL28-N0,NSE
757929,715MH49-SG,NSE
757930,716MH50-SG,NSE
758121,PERFECT-SZ,NSE
757989,CHEMBONDCH-EQ,NSE
758013,768GSGL28C-N0,NSE
758136,GVPTECHPP-E1,NSE
758157,RNPL-SM,NSE
758196,719TS49-SG,NSE
758198,717MH54-SG,NSE
758202,684JK31A-SG,NSE
758225,BHADORA-SM,NSE
758292,725SIHF28-N0,NSE
758430,AMCL-ST,NSE
758453,CONNPLEX-SM,NSE
758580,748BR39-SG,NSE
758666,754TS53-SG,NSE
758667,MANUFGBEES-EQ,NSE
758693,850TIAP28B-N0,NSE
758652,796TIL29-N0,NSE
758715,752KL33-SG,NSE
758695,813AIFL32-N0,NSE
758697,GROWWNIFTY-EQ,NSE
758713,713AS31-SG,NSE
758721,756HP40-SG,NSE
758888,364D100926-TB,NSE
758900,OPTIVALUE-SM,NSE
758918,774TS55-SG,NSE
758952,ELM250-EQ,NSE
759034,744TS47-SG,NSE
759038,745BR50-SG,NSE
759098,12AFIL27A-N0,NSE
759041,IVALUE-EQ,NSE
759048,GKENERGY-EQ,NSE
759067,ABCRESET28-N0,NSE
759100,965ISF28-N0,NSE
759103,HILINFRA-EQ,NSE
759183,733JH34-SG,NSE
759244,JAINREC-EQ,NSE
759257,BMWVENTLTD-BE,NSE
759322,746RJ38-SG,NSE
759941,799GSGL28-N0,NSE
759334,746RJ51-SG,NSE
759795,77NVCL28-N0,NSE
767,689MP40-SG,NSE
759951,JARO-EQ,NSE
7813,714KA32-SG,NSE
7852,INOXWIND-EQ,NSE
7874,734TS34-SG,NSE
79,ALEMBICLTD-EQ,NSE
7892,618GJ26A-SG,NSE
7898,729MZ33-SG,NSE
7902,LFIC-EQ,NSE
8128,699MH29-SG,NSE
7908,737KA38-SG,NSE
8119,RPSGVENT-EQ,NSE
8132,BLBLIMITED-EQ,NSE
8163,SPENCERS-EQ,NSE
822,BANKA-EQ,NSE
8192,713JK34-SG,NSE
8295,712AS32A-SG,NSE
8444,JAYBARMARU-BE,NSE
8321,703TN30-SG,NSE
8446,H1861D46DQ-MF,NSE
8455,H1861D46RG-MF,NSE
8506,MID150BEES-EQ,NSE
8573,723TN32-SG,NSE
8510,GATEWAY-EQ,NSE
8584,74WB38-SG,NSE
8587,743TN47-SG,NSE
8650,BLUECHIP-BE,NSE
8651,SFMP61GR-MF,NSE
8676,ABSLFTTQDG-MF,NSE
8680,713RJ29-SG,NSE
8687,MUKTAARTS-EQ,NSE
8713,74KL37-SG,NSE
8777,H1876D46RQ-MF,NSE
8890,VERANDA-EQ,NSE
910,EICHERMOT-EQ,NSE
8998,UMIYA-MRO-EQ,NSE
9262,925SCL27-YR,NSE
9305,STARTECK-EQ,NSE
956,667GS2050-GS,NSE
9435,761MH29-SG,NSE
9581,METROPOLIS-EQ,NSE
9641,KHANDSE-EQ,NSE
9724,772MH34-SG,NSE
9821,786MH30-SG,NSE
988,648MZ30-SG,NSE
9870,795HR32-SG,NSE
9872,804AP42-SG,NSE
9879,CHEVIOT-EQ,NSE
9897,AIRAN-EQ,NSE
756947,665IRFC30-N0,NSE
757014,THELEELA-EQ,NSE
757019,651GJ33-SG,NSE
757020,660TN35-SG,NSE
757107,DCCL-SM,NSE
757029,740SIHF28-N0,NSE
757113,677AS40-SG,NSE
757129,990CCSP27-N0,NSE
757148,738ABCL28-N0,NSE
757174,930APMD34-N0,NSE
757184,930APMD30-N0,NSE
757387,684AP38-SG,NSE
757389,688MP41-SG,NSE
757413,1025VCCL28-N0,NSE
757442,708TS57-SG,NSE
757451,659PFCL30-N0,NSE
757460,865SCL27-N4,NSE
757557,709KL52-SG,NSE
757567,730NIIF28-N0,NSE
757575,706RECL35-N0,NSE
757583,SAFEENTP-SM,NSE
757587,MAYASHEEL-SM,NSE
757605,INFLUX-ST,NSE
757619,SMARTEN-SM,NSE
757651,712HR41-SG,NSE
757654,714MH45-SG,NSE
757719,115VCCL27-N0,NSE
757738,715MH46-SG,NSE
757759,750TCSL28-N0,NSE
757810,MMEL-SM,NSE
757848,985CCSP27-N0,NSE
757885,ANTHEM-EQ,NSE
757890,975ISF28-N0,NSE
757900,718SFL28-N0,NSE
757907,91D161025-TB,NSE
757908,182D150126-TB,NSE
757919,BORANA-EQ,NSE
757927,718JK45A-SG,NSE
757933,687AP33-SG,NSE
758143,712SHFL30-N0,NSE
758161,714SDIL32-N0,NSE
758190,722BR40A-SG,NSE
758344,950ISF27B-N0,NSE
758207,364D060826-TB,NSE
758298,723LTFL28-N0,NSE
758338,12VCCL27D-N0,NSE
758412,91D131125-TB,NSE
758420,SSFLPP-E1,NSE
758527,STUDIOLSD-SM,NSE
758585,717GA35A-SG,NSE
758670,ARCIIL-SM,NSE
758674,724GS2055-GS,NSE
758689,773AIFL30-N0,NSE
758691,76377AIF29-N0,NSE
758703,ARFIN-BE,NSE
758711,684TN29-SG,NSE
758723,757RJ43-SG,NSE
758728,758KL50-SG,NSE
758729,91D281125-TB,NSE
758730,182D270226-TB,NSE
758740,ANONDITA-SM,NSE
758826,LLOYDPP-E1,NSE
758851,751HR41-SG,NSE
758853,SGFIN-EQ,NSE
758868,KAYTEX-SM,NSE
758889,SGMART-EQ,NSE
758909,AMANTA-EQ,NSE
758925,724BR31-SG,NSE
758926,773PN32-SG,NSE
758934,772MN37-SG,NSE
758946,SNEHAA-SM,NSE
758955,SML100CASE-EQ,NSE
758958,STLNETWORK-EQ,NSE
759032,745BR45-SG,NSE
759027,726TN35-SG,NSE
759030,742WB36-SG,NSE
759031,743MP43-SG,NSE
759130,ABCOTS-EQ,NSE
759169,MWL-EQ,NSE
759187,748PY36-SG,NSE
759189,743OR40-SG,NSE
759193,747WB44-SG,NSE
759215,1075WCA28-N0,NSE
759291,BLUESTONE-EQ,NSE
759325,744HR41-SG,NSE
759327,758BR43-SG,NSE
759328,756WB45-SG,NSE
7777,889SCFL27-YC,NSE
759330,748MP45-SG,NSE
759341,364D021026-TB,NSE
779,654UP30-SG,NSE
7819,714RJ32-SG,NSE
7975,1015ECL29-NR,NSE
8010,62RJ26-SG,NSE
8013,721RJ32-SG,NSE
8075,DALBHARAT-EQ,NSE
8110,AWL-EQ,NSE
8123,737AP42-SG,NSE
8126,654MH27-SG,NSE
8189,706GJ32-SG,NSE
8198,713TN47-SG,NSE
8308,SGBJAN27-GB,NSE
834,SGBOC28VII-GB,NSE
8324,712GJ32-SG,NSE
8325,714TN32-SG,NSE
8337,719TN42-SG,NSE
836,575PY26-SG,NSE
8351,708MP29-SG,NSE
8360,728JH37-SG,NSE
843,64KA30B-SG,NSE
846,64GJ30A-SG,NSE
847,SMVD-SM,NSE
8394,SHIGAN-SM,NSE
8479,TVSMOTOR-EQ,NSE
8498,735JH38-SG,NSE
8513,SURANI-SM,NSE
86,67NL30-SG,NSE
8574,724RJ32B-SG,NSE
8576,727ML32-SG,NSE
8693,734UP32-SG,NSE
8706,INDSWFTLAB-BE,NSE
8721,744AP42-SG,NSE
8773,H1876D46DG-MF,NSE
8900,MINDPOOL-SM,NSE
9273,843SCL27-YS,NSE
9288,KRITIKA-EQ,NSE
9354,TAJGVK-EQ,NSE
9385,PNCINFRA-EQ,NSE
9437,763MH30-SG,NSE
9517,SFMP1DR-MF,NSE
9538,762GS2039-GS,NSE
9592,VENUSPIPES-EQ,NSE
9599,DELHIVERY-EQ,NSE
9610,ICDSLTD-BE,NSE
9741,PARADEEP-EQ,NSE
9685,TRIDENT-EQ,NSE
9776,78TN32-SG,NSE
9822,789MH32-SG,NSE
9858,FIDEL-SM,NSE
9921,ALANKIT-EQ,NSE
997,659UP30-SG,NSE
9923,788NL32-SG,NSE
1015,688WB40-SG,NSE
10055,SFMP6GD-MF,NSE
10188,SHYAMCENT-EQ,NSE
10212,794TS36-SG,NSE
10213,796WB37-SG,NSE
10215,795AP39-SG,NSE
10232,SGBJUN30-GB,NSE
10296,KCK-ST,NSE
10300,RAMASTEEL-EQ,NSE
10318,PKTEA-BE,NSE
10397,JISLJALEQS-EQ,NSE
10407,KSHITIJPOL-EQ,NSE
10454,797WB42-SG,NSE
10457,ARVSMART-EQ,NSE
10462,781RJ32-SG,NSE
10473,POWERMECH-EQ,NSE
10511,UTINIFTETF-EQ,NSE
10544,764TN32-SG,NSE
10577,KRBL-EQ,NSE
10579,MARKSANS-EQ,NSE
10580,TCI-EQ,NSE
10585,MOM30IETF-EQ,NSE
10617,USASEEDS-ST,NSE
1073,FOSECOIND-EQ,NSE
1077,659HR30-SG,NSE
10637,OLECTRA-EQ,NSE
1080,647KA30-SG,NSE
10770,AHIMSA-ST,NSE
10783,774TS45-SG,NSE
1092,675KA34-SG,NSE
10898,AMEYA-SM,NSE
10923,753BR32-SG,NSE
1100,GARFIBRES-EQ,NSE
10939,JUNIORBEES-EQ,NSE
10964,746TS48-SG,NSE
11037,BANKIETF-EQ,NSE
11155,CREATIVE-EQ,NSE
11198,ANNAPURNA-SM,NSE
11281,771AP34-SG,NSE
11282,769BR32-SG,NSE
11295,772WB38-SG,NSE
11223,UCOBANK-EQ,NSE
11364,VAIBHAVGBL-EQ,NSE
11386,PVTBANIETF-EQ,NSE
11390,776MH30-SG,NSE
11400,775GJ32-SG,NSE
11418,774RJ42-SG,NSE
11423,DATAMATICS-EQ,NSE
11513,785BR32-SG,NSE
11435,SPANDANA-EQ,NSE
11561,HDFC1359DQ-MF,NSE
11543,COFORGE-EQ,NSE
11559,HDFC1359DD-MF,NSE
11582,TRACXN-EQ,NSE
11627,NARMADA-EQ,NSE
11763,JPPOWER-EQ,NSE
1165,66PN30-SG,NSE
11690,781HR32C-SG,NSE
11722,707IRFC25-NF,NSE
11870,785HP36-SG,NSE
11765,782RJ32-SG,NSE
11769,783PN42-SG,NSE
11778,GOKEX-EQ,NSE
11881,782NL32A-SG,NSE
11885,786JH34-SG,NSE
11932,FUSION-EQ,NSE
11949,714NHAI26-N7,NSE
100,ARE&M-EQ,NSE
1007,679PN35-SG,NSE
10056,SKMEGGPROD-BE,NSE
10195,753AS27-SG,NSE
10202,786HR32-SG,NSE
10204,793TS34-SG,NSE
10285,AYMSYNTEX-EQ,NSE
10277,NGLFINE-EQ,NSE
10337,792AP41-SG,NSE
10338,787TN33-SG,NSE
10355,803AP36-SG,NSE
10463,782NL32-SG,NSE
10471,804AP37-SG,NSE
10525,782RJ44-SG,NSE
10526,757HP31-SG,NSE
10541,767NL32-SG,NSE
10551,789HP37-SG,NSE
10638,777RJ32-SG,NSE
10644,793TN42-SG,NSE
10661,PONNIERODE-EQ,NSE
10693,MOMENTUM-EQ,NSE
10719,774AP38-SG,NSE
10753,UNIONBANK-EQ,NSE
1076,ZENSARTECH-EQ,NSE
10782,775PN42-SG,NSE
10840,HDFC1406DQ-MF,NSE
10845,771KL42-SG,NSE
10851,767KL34-SG,NSE
10854,762BR32-SG,NSE
10871,GRMOVER-EQ,NSE
10881,SFMP64GD-MF,NSE
10885,JFLLIFE-SM,NSE
10907,758PN42-SG,NSE
10965,746TS49-SG,NSE
1110,DANGEE-EQ,NSE
10981,74GS2062-GS,NSE
11006,LIQUIDBEES-EQ,NSE
11154,SGBJUL27-GB,NSE
11169,COFFEEDAY-BE,NSE
11193,AXISILVER-EQ,NSE
11239,NSIL-EQ,NSE
11253,WELSPUNLIV-EQ,NSE
11262,IGL-EQ,NSE
11275,TVTODAY-EQ,NSE
11277,762MH30A-SG,NSE
11374,TIPSFILMS-EQ,NSE
11265,TVSELECT-EQ,NSE
11394,ZOTA-EQ,NSE
11401,778MZ32-SG,NSE
11377,MAHABANK-EQ,NSE
1145,GIPCL-EQ,NSE
11439,BANKBEES-EQ,NSE
11457,NV20-EQ,NSE
11510,785UK32-SG,NSE
11565,HDFC1359RQ-MF,NSE
11580,WESTLIFE-EQ,NSE
1162,GTL-EQ,NSE
11590,77MH30-SG,NSE
11616,PHANTOMFX-ST,NSE
11626,WELENT-EQ,NSE
11637,SALSTEEL-BE,NSE
11665,79NHIT40-N2,NSE
11676,774HR29-SG,NSE
11697,791UP37-SG,NSE
11701,787RJ40-SG,NSE
11704,783TN42-SG,NSE
11706,781KL44-SG,NSE
11759,786AP33-SG,NSE
11767,784TS39-SG,NSE
11833,88SCL25-ZG,NSE
11861,93SCL24A-ZN,NSE
11798,ALLDIGI-EQ,NSE
11857,89SCL24A-ZM,NSE
11877,78TN42-SG,NSE
11919,MSPL-EQ,NSE
11930,NECLIFE-BE,NSE
1200,ESG-EQ,NSE
11981,765PN42-SG,NSE
12000,FAZE3Q-EQ,NSE
12039,UTIDAP35P1-MF,NSE
12071,UTIRQP35P1-MF,NSE
1214,DELTAMAGNT-EQ,NSE
12153,BBTCL-EQ,NSE
12657,744HR27-SG,NSE
12726,763KL43-SG,NSE
12847,KRISHANA-EQ,NSE
13081,TRIVENI-EQ,NSE
13102,SFMP73DD-MF,NSE
1315,GALAXYSURF-EQ,NSE
13122,751HR29-SG,NSE
13124,755GA32-SG,NSE
13182,ROHLTD-EQ,NSE
13194,741GS2036-GS,NSE
1328,MARINE-EQ,NSE
13236,SADBHAV-EQ,NSE
13248,764WB32-SG,NSE
1333,HDFCBANK-EQ,NSE
13372,762AR32-SG,NSE
1341,585GS2030-GS,NSE
1342,SGBN28VIII-GB,NSE
13377,761RJ32-SG,NSE
13384,765KA34-SG,NSE
13547,HDFC1204RD-MF,NSE
13548,HDFC1204RG-MF,NSE
13557,AVONMORE-EQ,NSE
13587,ACE-EQ,NSE
13601,76KA33-SG,NSE
13602,762TN33-SG,NSE
13606,764KL34-SG,NSE
13620,ANANTRAJ-EQ,NSE
13621,764WB42-SG,NSE
13642,SGBDE30III-GB,NSE
13672,SFMP74GD-MF,NSE
13689,AERONEU-EQ,NSE
13753,MANOMAY-EQ,NSE
13756,SHIVAMAUTO-EQ,NSE
13794,BAIDFIN-EQ,NSE
13854,9IIFL28A-NT,NSE
13875,JINDRILL-EQ,NSE
13926,ARISTO-SM,NSE
13957,765HR30-SG,NSE
14,656KA30-SG,NSE
13973,772UP36-SG,NSE
13977,772MP38-SG,NSE
13979,773RJ38-SG,NSE
14003,ZEEMEDIA-EQ,NSE
14043,SARLAPOLY-EQ,NSE
14098,766BR33-SG,NSE
14156,768GJ30-SG,NSE
14161,772BR33-SG,NSE
14163,762MP34-SG,NSE
14180,NSLNISP-EQ,NSE
14224,IMC1-N2,NSE
14255,REDINGTON-EQ,NSE
14263,AGARWALFT-SM,NSE
14296,SEQUENT-EQ,NSE
14334,HSCL-EQ,NSE
14361,APOLLOPIPE-EQ,NSE
14304,FSL-EQ,NSE
14369,773HR32-SG,NSE
14375,772BR33A-SG,NSE
14378,774MH33-SG,NSE
14380,769RJ39-SG,NSE
14403,RAJTV-EQ,NSE
1446,671TS40-SG,NSE
14440,NAHARSPING-EQ,NSE
14447,779WB42-SG,NSE
14518,ABSLLIQUID-EQ,NSE
14539,772AS33-SG,NSE
14627,HILTON-EQ,NSE
14630,SANCO-BZ,NSE
14643,772GJ34-SG,NSE
14651,778UP36-SG,NSE
14656,774MP43-SG,NSE
14737,HFMPM23RND-MF,NSE
14738,HFMPM23RQD-MF,NSE
14757,WINSOME-BZ,NSE
1482,IFBAGRO-EQ,NSE
14774,111NSETEST-EQ,NSE
14824,778RJ33-SG,NSE
14830,781UP34A-SG,NSE
14838,DECCANCE-EQ,NSE
14850,777MP47-SG,NSE
14894,CENTRALBK-EQ,NSE
14900,SAHYADRI-EQ,NSE
14924,LAL-EQ,NSE
15019,759PN33-SG,NSE
15032,PSUBNKBEES-EQ,NSE
15046,699GS2026-GS,NSE
15067,BLAL-EQ,NSE
15129,RGL-EQ,NSE
15157,RHL-EQ,NSE
15265,743TS33-SG,NSE
15320,747WB43-SG,NSE
15332,NMDC-EQ,NSE
15347,GSS-EQ,NSE
15355,RECLTD-EQ,NSE
15372,CIFCZC26A-N3,NSE
15377,PDMJEPAPER-EQ,NSE
15391,RACE-EQ,NSE
15475,734AP29-SG,NSE
15500,739HR31-SG,NSE
15649,ATALREAL-EQ,NSE
15730,PIGL-BE,NSE
15744,727GJ31-SG,NSE
1001,94SFL28-YL,NSE
10060,SFMP6GR-MF,NSE
10219,781RJ47-SG,NSE
10233,765GJ29-SG,NSE
10261,SGBJUN27-GB,NSE
10381,798RJ42-SG,NSE
10440,LUPIN-EQ,NSE
10461,781HR32B-SG,NSE
10508,MOHEALTH-EQ,NSE
10515,UTISENSETF-EQ,NSE
10619,HDFCNEXT50-EQ,NSE
10633,HDFCNIF100-EQ,NSE
10645,793RJ45-SG,NSE
10700,SURANAT&P-EQ,NSE
10768,OAL-EQ,NSE
10791,NUCLEUS-EQ,NSE
1084,66SK30-SG,NSE
10838,HDFC1406DD-MF,NSE
10843,HDFC1406RQ-MF,NSE
1085,GABRIEL-EQ,NSE
1086,66UP30-SG,NSE
10862,DREAMFOLKS-BE,NSE
10879,SFMP64DD-MF,NSE
10893,DBOL-EQ,NSE
10902,745TS30-SG,NSE
10911,758AP40-SG,NSE
10932,RADAAN-EQ,NSE
10956,745BR32-SG,NSE
10960,75HP36-SG,NSE
10995,ISHAN-SM,NSE
11058,SECURKLOUD-EQ,NSE
11095,755AS32-SG,NSE
11140,SUMIT-EQ,NSE
11160,756TS40-SG,NSE
11161,756WB42-SG,NSE
11192,SGBAUG30-GB,NSE
11195,INDIGO-EQ,NSE
11212,SHK-EQ,NSE
11218,MAKS-SM,NSE
11256,JAIBALAJI-EQ,NSE
11273,749GJ26-SG,NSE
11291,768WB32-SG,NSE
11309,BALAXI-EQ,NSE
11343,AFFLE-EQ,NSE
11369,TTKHLTCARE-EQ,NSE
11408,781UP32-SG,NSE
11447,CMRSL-SM,NSE
11547,HDFCLOWVOL-EQ,NSE
11571,PPLPHARMA-EQ,NSE
11618,ASTRAMICRO-EQ,NSE
11654,LALPATHLAB-EQ,NSE
11723,JSWSTEEL-EQ,NSE
11787,GOYALALUM-EQ,NSE
1166,672KA33-SG,NSE
11751,732IRFC25-NI,NSE
1181,GODFRYPHLP-EQ,NSE
11866,757GJ26-SG,NSE
11872,GRANULES-EQ,NSE
11884,MANINDS-EQ,NSE
11886,787HP34-SG,NSE
11903,IPSL-SM,NSE
11952,739NHAI26-N8,NSE
11999,FCSSOFT-EQ,NSE
12018,SUZLON-EQ,NSE
12048,UTIRAP35P1-MF,NSE
1207,53BR25-SG,NSE
1212,635MH28-SG,NSE
1232,GRASIM-EQ,NSE
1233,65GJ30A-SG,NSE
1256,673TS50-SG,NSE
12563,SFMP72GR-MF,NSE
12661,755AP29-SG,NSE
12848,N1NSETEST-EQ,NSE
12904,SGBAUG27-GB,NSE
12933,97SFL26-Z9,NSE
13001,DHARMAJ-EQ,NSE
13050,754KA41-SG,NSE
13134,763KA40-SG,NSE
13163,UTIRMP35P2-MF,NSE
13143,GSEC10IETF-EQ,NSE
13152,UTIDFP35P2-MF,NSE
13164,UTIRQP35P2-MF,NSE
13288,AFSL-EQ,NSE
13307,IEL-BE,NSE
13342,VAKRANGEE-EQ,NSE
13359,KFINTECH-EQ,NSE
13376,UTTAMSUGAR-EQ,NSE
13379,761TN32A-SG,NSE
13414,RSYSTEMS-EQ,NSE
13424,EMKAY-BE,NSE
1361,622KL27-SG,NSE
13528,GMRAIRPORT-EQ,NSE
13598,ANTELOPUS-EQ,NSE
1365,653KA30-SG,NSE
13611,IRCTC-EQ,NSE
13631,SKYGOLD-EQ,NSE
13656,ALICON-EQ,NSE
13657,ANLON-SM,NSE
13710,FIEMIND-EQ,NSE
13716,762UK33-SG,NSE
13725,DCBBANK-EQ,NSE
13786,TORNTPOWER-EQ,NSE
1393,880IREDA34-N6,NSE
13852,865IIFL28-NS,NSE
13900,CREST-EQ,NSE
13911,76KL45-SG,NSE
13942,UTIDMP35P3-MF,NSE
13976,TANLA-EQ,NSE
13991,771WB39-SG,NSE
14069,ASMS-BE,NSE
14086,IGPL-EQ,NSE
14088,761TS32-SG,NSE
14092,767AS33A-SG,NSE
14096,SIYSIL-EQ,NSE
14101,PTL-EQ,NSE
14103,76JK35-SG,NSE
14159,77HR31-SG,NSE
14223,TIIL-EQ,NSE
14279,759PN39-SG,NSE
14286,GOLDETF-EQ,NSE
14339,GANESHHOU-EQ,NSE
1443,671WB40-SG,NSE
14381,769PN39-SG,NSE
14418,ASTRAL-EQ,NSE
14435,JKTYRE-EQ,NSE
14450,EMBDL-EQ,NSE
14479,DIVGIITTS-EQ,NSE
1453,654KA30-SG,NSE
14501,BALAMINES-EQ,NSE
1454,655GA30A-SG,NSE
14548,768GJ33-SG,NSE
14549,766MH33-SG,NSE
14564,767TN53-SG,NSE
14582,SRHHYPOLTD-EQ,NSE
14602,WEBELSOLAR-EQ,NSE
14641,776HP33-SG,NSE
14642,777RJ33-SG,NSE
14720,990SCL26D-AH,NSE
14761,NELCAST-EQ,NSE
14781,141NSETEST-EQ,NSE
14816,775CG31-SG,NSE
14828,WSI-EQ,NSE
14840,783KL39-SG,NSE
14972,KSCL-EQ,NSE
14977,POWERGRID-EQ,NSE
14992,CCCL-EQ,NSE
15016,758AS33-SG,NSE
1512,INDHOTEL-EQ,NSE
15036,INFINIUM-SM,NSE
15044,DELTACORP-EQ,NSE
1513,535RJ25-SG,NSE
1515,INDIACEM-EQ,NSE
15231,1025SFIL26-NT,NSE
15240,1050SFIL28-NV,NSE
15245,957SFIL28-NW,NSE
15309,745RJ33-SG,NSE
15330,QGOLDHALF-EQ,NSE
15349,SADHNANIQ-BE,NSE
15360,NAHARCAP-EQ,NSE
15376,CIFCZC28A-N5,NSE
157,APOLLOHOSP-EQ,NSE
15399,EIHAHOTELS-EQ,NSE
15840,LATTEYS-EQ,NSE
15966,716HR27-SG,NSE
1651,663KA34-SG,NSE
1652,663TN35-SG,NSE
16092,729KL49-SG,NSE
16483,PROV-SM,NSE
166,ANDHRAPAP-EQ,NSE
16675,BAJAJFINSV-EQ,NSE
16696,GHCLTEXTIL-EQ,NSE
16733,725GS2063-GS,NSE
16805,74MP34-SG,NSE
1697,541GA25-SG,NSE
16974,74CG30-SG,NSE
16977,742ML32-SG,NSE
16995,739RJ48-SG,NSE
16996,TPHQ-EQ,NSE
17012,GENSOL-BE,NSE
1703,588CG26-SG,NSE
17062,PALREDTEC-EQ,NSE
17116,744ML31-SG,NSE
17140,IDEAFORGE-EQ,NSE
17197,PAKKA-EQ,NSE
17202,SGBJUN31I-GB,NSE
17263,ARMANFIN-EQ,NSE
17272,SETFGOLD-EQ,NSE
17307,AJMERA-EQ,NSE
17352,1102NFL26-N8,NSE
17433,NETWEB-EQ,NSE
17461,736WB41-SG,NSE
17520,RTNPOWER-EQ,NSE
17576,PVTBANKADD-EQ,NSE
17603,MAHEPC-EQ,NSE
17635,ZYDUSWELL-EQ,NSE
11975,RML-EQ,NSE
17651,POKARNA-EQ,NSE
