symbol,exch_seg,token
TORNTPOWER26JUN251360CE,NFO,144930
TORNTPOWER26JUN251400CE,NFO,144932
NIFTY12JUN2525250CE,NFO,44878
NIFTY12JUN2525450CE,NFO,44886
NIFTY12JUN2525600PE,NFO,44897
NIFTY12JUN2525450PE,NFO,44887
TRENT29MAY253900CE,NFO,144964
TRENT29MAY255900CE,NFO,144986
TRENT29MAY255500CE,NFO,144982
TRENT26JUN256400CE,NFO,145028
NIFTY12JUN2525650CE,NFO,44898
NIFTY12JUN2526500CE,NFO,44934
NIFTY12JUN2525800PE,NFO,44905
NIFTY12JUN2525750CE,NFO,44902
NIFTY12JUN2526800PE,NFO,44949
OFSS29MAY258000CE,NFO,45579
OFSS29MAY258200PE,NFO,45588
OFSS29MAY258500PE,NFO,45607
TVSMOTOR29MAY251900PE,NFO,145049
TVSMOTOR29MAY252220PE,NFO,145065
TVSMOTOR29MAY252660CE,NFO,145088
TVSMOTOR29MAY252540PE,NFO,145081
OFSS29MAY258600CE,NFO,45608
OFSS29MAY259400PE,NFO,45627
OFSS26JUN257200PE,NFO,45727
OFSS26JUN258000CE,NFO,45813
TVSMOTOR29MAY252660PE,NFO,145089
TVSMOTOR26JUN252440PE,NFO,145167
TVSMOTOR26JUN252360CE,NFO,145162
TVSMOTOR29MAY253020PE,NFO,145111
OFSS26JUN258400CE,NFO,45844
OFSS26JUN259200PE,NFO,45936
OFSS26JUN258800PE,NFO,45914
OFSS26JUN259800CE,NFO,46059
TVSMOTOR26JUN252480CE,NFO,145168
TVSMOTOR26JUN252680CE,NFO,145178
TVSMOTOR26JUN252800PE,NFO,145185
ULTRACEMCO29MAY2510900PE,NFO,145241
OFSS31JUL258000CE,NFO,46368
OFSS31JUL259400PE,NFO,46426
NBCC29MAY25109PE,NFO,46770
OFSS26JUN259800PE,NFO,46060
ULTRACEMCO26JUN2511200CE,NFO,145347
ULTRACEMCO26JUN2511600PE,NFO,145352
ULTRACEMCO29MAY2511700CE,NFO,145248
ULTRACEMCO29MAY2513100PE,NFO,145275
MRF29MAY25136500PE,NFO,47355
MRF29MAY25137500CE,NFO,47356
BEL26JUN25415CE,NFO,47148
MFSL29MAY251500CE,NFO,47293
DMART29MAY254900PE,NFO,47392
AARTIIND29MAY25525CE,NFO,47683
APOLLOTYRE29MAY25565PE,NFO,47730
AARTIIND26JUN25530PE,NFO,48297
ULTRACEMCO26JUN2512400CE,NFO,145359
UNIONBANK29MAY25112.5PE,NFO,145448
UNIONBANK29MAY25102.5CE,NFO,145441
UNIONBANK29MAY25137.5PE,NFO,145464
BANKNIFTY26JUN2545000CE,NFO,48304
BANKNIFTY26JUN2548000CE,NFO,48308
BANKNIFTY26JUN2548000PE,NFO,48313
LODHA29MAY251540PE,NFO,48404
UNITDSPR29MAY251500PE,NFO,145560
UNITDSPR29MAY251540CE,NFO,145561
UNIONBANK26JUN25130CE,NFO,145511
UNITDSPR26JUN251640PE,NFO,145618
MRF29MAY25141500CE,NFO,48431
NBCC26JUN25118CE,NFO,48497
DELHIVERY29MAY25395PE,NFO,48662
ICICIBANK29MAY251620PE,NFO,48706
UPL26JUN25740CE,NFO,145719
NIFTY22MAY2522600PE,NFO,49104
NIFTY22MAY2522900PE,NFO,49116
NIFTY22MAY2523000CE,NFO,49119
NIFTY22MAY2523100CE,NFO,49123
UPL29MAY25630PE,NFO,145658
UPL29MAY25650CE,NFO,145659
UPL26JUN25720CE,NFO,145717
NIFTY22MAY2523500CE,NFO,49149
NIFTY22MAY2525200PE,NFO,49266
NIFTY22MAY2525450CE,NFO,49298
NIFTY22MAY2525350PE,NFO,49290
VBL29MAY25610CE,NFO,145755
VBL29MAY25570PE,NFO,145752
VBL26JUN25460PE,NFO,145784
VEDL29MAY25370PE,NFO,145816
NIFTY22MAY2525550PE,NFO,49303
NIFTY22MAY2526000CE,NFO,49328
NIFTY22MAY2526000PE,NFO,49329
NIFTY22MAY2525450PE,NFO,49299
VEDL26JUN25400CE,NFO,145853
VEDL26JUN25420CE,NFO,145855
VEDL29MAY25450PE,NFO,145824
VOLTAS29MAY251380CE,NFO,145903
NIFTY22MAY2526350CE,NFO,49348
NIFTY22MAY2526250CE,NFO,49341
NIFTY22MAY2526450PE,NFO,49353
ABCAPITAL26JUN25245CE,NFO,49552
AUBANK29MAY25735CE,NFO,49624
HAL29MAY255600CE,NFO,49870
HAL31JUL255700PE,NFO,49819
M&MFIN29MAY25220PE,NFO,50077
VOLTAS26JUN251000CE,NFO,145953
VOLTAS26JUN251040PE,NFO,145987
VOLTAS26JUN251120CE,NFO,145990
VOLTAS29MAY251420CE,NFO,145905
M&MFIN29MAY25230CE,NFO,50082
SBILIFE26JUN251960PE,NFO,50145
M&MFIN29MAY25275PE,NFO,50105
ULTRACEMCO26JUN2511900PE,NFO,133759
ETERNAL29MAY25245PE,NFO,146349
ZYDUSLIFE29MAY25750PE,NFO,146417
WIPRO26JUN25215CE,NFO,146209
WIPRO26JUN25225PE,NFO,146214
ULTRACEMCO26JUN2512100PE,NFO,133761
ULTRACEMCO26JUN2512500PE,NFO,133787
PRESTIGE26JUN251400CE,NFO,133843
TITAN29MAY253200PE,NFO,133867
ZYDUSLIFE29MAY25890CE,NFO,146484
ZYDUSLIFE29MAY25910PE,NFO,146487
ZYDUSLIFE29MAY25950PE,NFO,146491
ZYDUSLIFE29MAY25970CE,NFO,146492
PRESTIGE26JUN251440PE,NFO,133869
TITAN29MAY253700PE,NFO,133897
ULTRACEMCO31JUL2510400PE,NFO,133932
ULTRACEMCO31JUL2511600CE,NFO,133951
ZYDUSLIFE26JUN25760PE,NFO,146535
ZYDUSLIFE26JUN25720CE,NFO,146530
ZYDUSLIFE26JUN25740CE,NFO,146532
ZYDUSLIFE29MAY251070CE,NFO,146502
RAMCOCEM29MAY25850PE,NFO,133982
RAMCOCEM29MAY25910PE,NFO,133993
RAMCOCEM29MAY25930CE,NFO,133994
RAMCOCEM29MAY25950CE,NFO,133996
NIFTY31DEC2630000CE,NFO,35235
NIFTY25JUN2630000PE,NFO,35231
BSE29MAY256300CE,NFO,35240
RBLBANK29MAY25152.5PE,NFO,134029
RBLBANK26JUN25200CE,NFO,134176
ZYDUSLIFE26JUN25940PE,NFO,146553
RAMCOCEM29MAY25990PE,NFO,134003
RBLBANK26JUN25190CE,NFO,134168
RBLBANK26JUN25210PE,NFO,134181
RECLTD29MAY25430CE,NFO,134204
RECLTD29MAY25470CE,NFO,134208
UNIONBANK26JUN25122.5PE,NFO,134210
RELIANCE29MAY251190PE,NFO,134383
RELIANCE29MAY251230CE,NFO,134386
RELIANCE29MAY251250CE,NFO,134388
UNIONBANK31JUL25105PE,NFO,134308
RELIANCE29MAY251290PE,NFO,134393
RELIANCE29MAY251310PE,NFO,134395
RELIANCE29MAY251350PE,NFO,134399
RELIANCE29MAY251370PE,NFO,134401
RELIANCE29MAY251470CE,NFO,134450
RELIANCE29MAY251470PE,NFO,134451
UNITDSPR26JUN251700CE,NFO,134464
UNITDSPR26JUN251620PE,NFO,134461
RELIANCE29MAY251550CE,NFO,134532
UNITDSPR31JUL251480PE,NFO,134507
UNITDSPR31JUL251840CE,NFO,134524
UNITDSPR31JUL251760CE,NFO,134520
HAL29MAY255250PE,NFO,35367
GODREJCP26JUN251460CE,NFO,35362
BSE26JUN257000CE,NFO,35255
NIFTY24JUN2730000PE,NFO,35263
UPL31JUL25600CE,NFO,134656
TORNTPHARM29MAY252600PE,NFO,134694
UPL26JUN25570CE,NFO,134604
UPL26JUN25590CE,NFO,134606
NCC29MAY25262.5PE,NFO,35710
BHEL26JUN25285PE,NFO,35838
TATACONSUM26JUN251300CE,NFO,35912
CGPOWER29MAY25450PE,NFO,36312
TORNTPHARM29MAY253400CE,NFO,134741
RELIANCE26JUN251060PE,NFO,134777
RELIANCE26JUN251000PE,NFO,134771
RELIANCE26JUN251120PE,NFO,134783
RELIANCE26JUN251180CE,NFO,134788
RELIANCE26JUN251220PE,NFO,134793
VBL26JUN25490CE,NFO,134842
VBL26JUN25530CE,NFO,134914
COFORGE29MAY255700PE,NFO,36348
GMRAIRPORT26JUN25102CE,NFO,36539
HAL29MAY255000CE,NFO,36593
061NSETEST27NOV36FUT,NFO,36700
VBL31JUL25440CE,NFO,134944
VBL31JUL25460PE,NFO,134947
VBL31JUL25480CE,NFO,134948
VEDL26JUN25370PE,NFO,135007
INDUSINDBK29MAY25960PE,NFO,36794
INDUSINDBK26JUN25860PE,NFO,36799
101NSETEST27NOV36FUT,NFO,36715
HAL26JUN255350PE,NFO,36867
VEDL31JUL25320CE,NFO,135034
RELIANCE26JUN251540PE,NFO,135057
RELIANCE26JUN251640PE,NFO,135133
SAIL29MAY2592.5PE,NFO,135155
HAL26JUN255450PE,NFO,36869
HAL31JUL255300PE,NFO,36911
MPHASIS29MAY251780PE,NFO,37071
BANDHANBNK29MAY25185PE,NFO,37119
VEDL31JUL25500PE,NFO,135163
VEDL31JUL25500CE,NFO,135160
SAIL29MAY25107.5PE,NFO,135176
SAIL29MAY25132.5CE,NFO,135187
TCS29MAY252860PE,NFO,37408
ANGELONE29MAY252950CE,NFO,37580
GMRAIRPORT29MAY2599PE,NFO,37791
NIFTY31DEC2623000CE,NFO,37806
SAIL29MAY25132.5PE,NFO,135188
SAIL26JUN25120CE,NFO,135249
SAIL26JUN25140PE,NFO,135258
SAIL26JUN25125PE,NFO,135252
IIFL26JUN25430CE,NFO,37866
IIFL26JUN25460CE,NFO,37868
NBCC26JUN25123CE,NFO,38080
MRF29MAY25132500CE,NFO,38019
SBICARD26JUN25760CE,NFO,135340
SBICARD26JUN251000PE,NFO,135439
SBICARD26JUN25960CE,NFO,135430
SBICARD26JUN25940PE,NFO,135429
NIFTY24DEC2529000PE,NFO,38153
NBCC26JUN25123PE,NFO,38081
NIFTY24DEC2529000CE,NFO,38152
NCC26JUN25267.5CE,NFO,38110
TORNTPOWER29MAY251480CE,NFO,135443
VOLTAS31JUL251080CE,NFO,135454
VOLTAS31JUL251240PE,NFO,135463
WIPRO26JUN25212.5PE,NFO,135559
INDIGO29MAY255700PE,NFO,38556
WIPRO26JUN25227.5CE,NFO,135566
WIPRO26JUN25262.5PE,NFO,135593
SBILIFE29MAY251620PE,NFO,135705
SBILIFE29MAY251740CE,NFO,135710
NIFTY24DEC2520000CE,NFO,38376
NIFTY25JUN2620000CE,NFO,38378
TITAN29MAY253820PE,NFO,38231
WIPRO31JUL25250PE,NFO,135795
SBILIFE29MAY251820PE,NFO,135715
TRENT29MAY256000PE,NFO,135808
WIPRO31JUL25280CE,NFO,135825
IIFL26JUN25465PE,NFO,38590
AUBANK29MAY25715CE,NFO,38868
GMRAIRPORT29MAY25101CE,NFO,39134
TIINDIA26JUN253550CE,NFO,39153
YESBANK26JUN2519CE,NFO,135881
WIPRO31JUL25290CE,NFO,135829
YESBANK31JUL2524PE,NFO,135951
YESBANK26JUN2523CE,NFO,135910
ONGC29MAY25177.5PE,NFO,39441
BEL29MAY25405CE,NFO,39409
BEL26JUN25405CE,NFO,39413
IEX29MAY25227.5CE,NFO,39222
SBILIFE26JUN251520PE,NFO,135987
SBIN29MAY25670PE,NFO,136096
SBILIFE26JUN251720CE,NFO,136006
SBIN29MAY25730PE,NFO,136140
PNBHOUSING29MAY251180CE,NFO,39532
DELHIVERY26JUN25385CE,NFO,39563
DELHIVERY26JUN25385PE,NFO,39578
HAL26JUN255650PE,NFO,39646
SBIN29MAY25770PE,NFO,136144
ZYDUSLIFE26JUN25810PE,NFO,136148
ZYDUSLIFE26JUN25890CE,NFO,136175
TVSMOTOR29MAY252000PE,NFO,136235
VEDL29MAY25330PE,NFO,39803
NIFTY25JUN2619000CE,NFO,39989
NIFTY26JUN2515000PE,NFO,40091
TVSMOTOR29MAY253000CE,NFO,40145
ZYDUSLIFE31JUL25860CE,NFO,136315
ZYDUSLIFE31JUL25820PE,NFO,136312
SBIN29MAY25850CE,NFO,136265
TVSMOTOR29MAY252680PE,NFO,136278
ZYDUSLIFE31JUL251040PE,NFO,136347
TVSMOTOR29MAY252920PE,NFO,136428
SHREECEM29MAY2529250CE,NFO,136576
SBIN26JUN25920PE,NFO,136500
NIFTY05JUN2522550CE,NFO,40357
NIFTY05JUN2522400CE,NFO,40351
NIFTY05JUN2522750PE,NFO,40374
UNITDSPR29MAY251800PE,NFO,40196
SHREECEM26JUN2526000CE,NFO,136744
SHREECEM26JUN2528000PE,NFO,136753
SHREECEM26JUN2528500CE,NFO,136754
SHREECEM26JUN2529500CE,NFO,136774
NIFTY05JUN2523150PE,NFO,40398
NIFTY05JUN2523650CE,NFO,40419
NIFTY05JUN2523450CE,NFO,40411
NIFTY05JUN2523850CE,NFO,40429
SHREECEM26JUN2533500CE,NFO,136946
ULTRACEMCO29MAY2510800CE,NFO,137016
ULTRACEMCO29MAY2510800PE,NFO,137017
ULTRACEMCO29MAY2511800CE,NFO,137109
NIFTY05JUN2524050PE,NFO,40438
NIFTY05JUN2524200CE,NFO,40447
NIFTY05JUN2524200PE,NFO,40448
NIFTY05JUN2524100PE,NFO,40440
ULTRACEMCO29MAY2513200PE,NFO,137130
ULTRACEMCO29MAY2512200PE,NFO,137114
ULTRACEMCO29MAY2512000PE,NFO,137112
ULTRACEMCO29MAY2513000CE,NFO,137121
NIFTY05JUN2524300PE,NFO,40452
NIFTY05JUN2524700PE,NFO,40476
NIFTY05JUN2524750CE,NFO,40477
NIFTY05JUN2524850PE,NFO,40486
SHRIRAMFIN29MAY25550CE,NFO,137191
SHRIRAMFIN29MAY25550PE,NFO,137192
SHRIRAMFIN29MAY25690CE,NFO,137281
SHRIRAMFIN29MAY25570PE,NFO,137201
SHRIRAMFIN26JUN25640CE,NFO,137336
SHRIRAMFIN26JUN25580CE,NFO,137330
SHRIRAMFIN26JUN25600CE,NFO,137332
SHRIRAMFIN26JUN25520PE,NFO,137314
NIFTY05JUN2525050CE,NFO,40493
NIFTY05JUN2525100PE,NFO,40496
NIFTY05JUN2525000CE,NFO,40491
NIFTY05JUN2525200PE,NFO,40504
SHRIRAMFIN26JUN25640PE,NFO,137337
SHRIRAMFIN26JUN25740PE,NFO,137370
SHRIRAMFIN26JUN25780PE,NFO,137413
SHRIRAMFIN26JUN25760CE,NFO,137410
SIEMENS26JUN254000PE,NFO,137469
SIEMENS26JUN253800CE,NFO,137462
UNIONBANK29MAY25100CE,NFO,137777
UNIONBANK29MAY25120PE,NFO,137798
UNIONBANK29MAY25130CE,NFO,137883
SJVN29MAY2581CE,NFO,138016
SJVN29MAY2589CE,NFO,138171
SJVN29MAY2593CE,NFO,138180
SJVN29MAY25102PE,NFO,138195
SJVN29MAY25104PE,NFO,138199
SJVN29MAY25107PE,NFO,138203
SJVN29MAY25109PE,NFO,138207
SJVN26JUN2582CE,NFO,138353
SJVN26JUN2580PE,NFO,138352
SJVN29MAY25113CE,NFO,138213
SJVN29MAY25116PE,NFO,138218
SJVN26JUN2584CE,NFO,138355
SJVN26JUN2590CE,NFO,138387
UNITDSPR29MAY251200PE,NFO,138413
UNITDSPR29MAY251400CE,NFO,138422
UNITDSPR29MAY251520CE,NFO,138461
SJVN26JUN2598CE,NFO,138506
SJVN26JUN25116PE,NFO,138526
SOLARINDS29MAY2511500CE,NFO,138636
SOLARINDS29MAY2515500CE,NFO,138769
UPL29MAY25540PE,NFO,138834
SOLARINDS26JUN2513000PE,NFO,138826
UPL29MAY25580PE,NFO,138908
UPL29MAY25680CE,NFO,138929
SONACOMS29MAY25510PE,NFO,139072
SONACOMS26JUN25400CE,NFO,139126
SONACOMS26JUN25420PE,NFO,139129
SRF29MAY252450CE,NFO,139342
SRF29MAY252850CE,NFO,139431
SONACOMS26JUN25480CE,NFO,139134
SONACOMS26JUN25500CE,NFO,139136
SRF29MAY252900PE,NFO,139434
SRF29MAY252850PE,NFO,139432
VBL29MAY25500CE,NFO,139538
VBL29MAY25580PE,NFO,139569
VEDL29MAY25340CE,NFO,139753
VEDL29MAY25380PE,NFO,139758
VEDL29MAY25460PE,NFO,139766
VEDL29MAY25420CE,NFO,139761
SRF26JUN253300CE,NFO,139795
SRF26JUN253400CE,NFO,139797
VOLTAS29MAY251000CE,NFO,139965
VOLTAS29MAY251320CE,NFO,139981
VOLTAS29MAY251360PE,NFO,139984
VOLTAS29MAY251440PE,NFO,139988
VOLTAS29MAY251560CE,NFO,139993
SUNPHARMA29MAY251660CE,NFO,140227
WIPRO29MAY25285PE,NFO,140306
WIPRO29MAY25270PE,NFO,140300
WIPRO29MAY25235CE,NFO,140285
SUNPHARMA29MAY251660PE,NFO,140228
WIPRO29MAY25300CE,NFO,140376
SUNPHARMA29MAY251940CE,NFO,140323
SUNPHARMA26JUN251400PE,NFO,140476
SUNPHARMA26JUN251440CE,NFO,140477
NIFTY05JUN2526050PE,NFO,40542
NIFTY05JUN2525300PE,NFO,40508
NIFTY05JUN2525400CE,NFO,40513
NIFTY05JUN2525600CE,NFO,40523
SUNPHARMA26JUN251520PE,NFO,140536
SUNPHARMA26JUN251680PE,NFO,140544
SUNPHARMA26JUN251720CE,NFO,140545
SUNPHARMA26JUN251840PE,NFO,140623
MIDCPNIFTY29MAY2513250PE,NFO,41460
SIEMENS29MAY252000PE,NFO,41402
SIEMENS29MAY252900PE,NFO,41423
SIEMENS29MAY253100PE,NFO,41429
SUNPHARMA26JUN252000CE,NFO,140634
ETERNAL29MAY25170PE,NFO,140680
ETERNAL29MAY25180CE,NFO,140681
SUNPHARMA26JUN251920CE,NFO,140626
ETERNAL29MAY25190PE,NFO,140684
ETERNAL29MAY25240CE,NFO,140695
ETERNAL29MAY25250CE,NFO,140699
ETERNAL29MAY25260CE,NFO,140769
MIDCPNIFTY29MAY2513325CE,NFO,41463
MIDCPNIFTY29MAY2513375CE,NFO,41467
NIFTYNXT5029MAY2571200CE,NFO,41487
SIEMENS26JUN253000CE,NFO,41549
ZYDUSLIFE29MAY251080CE,NFO,141033
ZYDUSLIFE29MAY25860PE,NFO,140950
ZYDUSLIFE29MAY251060PE,NFO,141032
ZYDUSLIFE29MAY25900PE,NFO,141016
SIEMENS26JUN253000PE,NFO,41550
BPCL29MAY25350CE,NFO,41893
BEL29MAY25400PE,NFO,41820
LICHSGFIN29MAY25700CE,NFO,42727
SUPREMEIND29MAY253500PE,NFO,141139
SUPREMEIND29MAY254150PE,NFO,141159
SUPREMEIND29MAY254300PE,NFO,141163
SUPREMEIND26JUN253400PE,NFO,141241
SUPREMEIND26JUN253500PE,NFO,141243
SUPREMEIND26JUN253800CE,NFO,141248
SUPREMEIND26JUN253500CE,NFO,141242
SUPREMEIND26JUN253900CE,NFO,141250
SYNGENE26JUN25520CE,NFO,141362
TATACHEM29MAY25730PE,NFO,141629
SYNGENE29MAY25650CE,NFO,141284
SYNGENE29MAY25750PE,NFO,141295
TATACHEM29MAY25750PE,NFO,141633
TATACHEM29MAY25780PE,NFO,141637
TATACHEM29MAY25790CE,NFO,141638
TATACHEM29MAY25830CE,NFO,141644
TATACHEM29MAY25930CE,NFO,141658
TATACHEM29MAY25890CE,NFO,141652
TATACHEM29MAY25980CE,NFO,141666
TATACHEM26JUN25680CE,NFO,141704
TATACHEM26JUN25880PE,NFO,141777
TATACHEM26JUN25680PE,NFO,141705
TATACHEM26JUN25700CE,NFO,141706
TATACHEM26JUN25700PE,NFO,141707
DIXON26JUN2518500CE,NFO,43672
NCC26JUN25272.5CE,NFO,43024
POWERGRID29MAY25350PE,NFO,43279
PIIND29MAY254300CE,NFO,43204
TATACOMM29MAY251340PE,NFO,141815
TATACOMM29MAY251420CE,NFO,141818
TATACOMM29MAY251580PE,NFO,141827
TATACOMM29MAY251620CE,NFO,141828
MRF29MAY25153000PE,NFO,43725
PNBHOUSING29MAY251220PE,NFO,43813
IIFL29MAY25410CE,NFO,44607
AARTIIND29MAY25530CE,NFO,44162
TATACOMM26JUN251880CE,NFO,141937
TATACONSUM29MAY251010CE,NFO,142082
TATACONSUM29MAY251090CE,NFO,142090
TATACONSUM29MAY251210PE,NFO,142103
TATAELXSI29MAY254500PE,NFO,142456
TATACONSUM26JUN251060PE,NFO,142264
TATACONSUM26JUN251240PE,NFO,142282
TATAELXSI29MAY254300PE,NFO,142450
NIFTY12JUN2522650PE,NFO,44735
NIFTY12JUN2522550CE,NFO,44730
NIFTY12JUN2523300PE,NFO,44771
NIFTY12JUN2522400CE,NFO,44724
TATAELXSI29MAY254650CE,NFO,142459
TATAELXSI29MAY255300PE,NFO,142480
TATAELXSI29MAY256050CE,NFO,142501
TATAELXSI29MAY255350PE,NFO,142482
NIFTY12JUN2523450CE,NFO,44776
MRF29MAY25125000CE,NFO,44784
MRF29MAY25144000PE,NFO,44787
NIFTY12JUN2523550CE,NFO,44780
TATAELXSI29MAY256500PE,NFO,142526
TATAELXSI29MAY256350PE,NFO,142522
TATAELXSI26JUN254900CE,NFO,142603
TATAELXSI26JUN255200CE,NFO,142611
TATAELXSI26JUN255300CE,NFO,142613
TATAELXSI26JUN255300PE,NFO,142614
TATAELXSI26JUN255400PE,NFO,142616
TATAELXSI26JUN255900PE,NFO,142626
NIFTY12JUN2523650PE,NFO,44789
NIFTY12JUN2523750PE,NFO,44795
NYKAA29MAY25215CE,NFO,44830
NHPC29MAY25102CE,NFO,44800
TATAELXSI26JUN256500PE,NFO,142638
TATAELXSI26JUN257000PE,NFO,142648
TATAELXSI26JUN256600PE,NFO,142640
TATAELXSI26JUN256000PE,NFO,142628
NIFTY12JUN2524600PE,NFO,44843
NIFTY12JUN2524550PE,NFO,44841
NIFTY12JUN2524800PE,NFO,44857
NIFTY12JUN2524850CE,NFO,44858
TATAMOTORS29MAY25470PE,NFO,142658
TATAMOTORS29MAY25550PE,NFO,142666
TATAMOTORS29MAY25670PE,NFO,142678
TATAMOTORS29MAY25590PE,NFO,142670
NIFTY12JUN2524850PE,NFO,44859
NIFTY12JUN2525000CE,NFO,44866
NIFTY12JUN2525100PE,NFO,44871
NIFTY12JUN2525150CE,NFO,44872
TATAMOTORS29MAY25770PE,NFO,142726
TATAMOTORS26JUN25540CE,NFO,142807
TATAMOTORS26JUN25580PE,NFO,142814
TATAMOTORS26JUN25620PE,NFO,142818
NIFTY12JUN2525300PE,NFO,44881
NIFTY12JUN2525850CE,NFO,44906
NIFTY12JUN2526100CE,NFO,44916
NIFTY12JUN2526300CE,NFO,44924
OFSS29MAY257400CE,NFO,45562
NIFTY12JUN2526500PE,NFO,44935
INDUSINDBK29MAY25660PE,NFO,45530
OFSS29MAY257300PE,NFO,45561
OFSS29MAY257500PE,NFO,45567
OFSS29MAY257700PE,NFO,45571
OFSS29MAY258400CE,NFO,45595
OFSS29MAY258900PE,NFO,45617
OFSS29MAY259300PE,NFO,45625
OFSS26JUN257500PE,NFO,45757
NIFTY26JUN2517000CE,NFO,45865
OFSS26JUN257900CE,NFO,45807
OFSS26JUN258700PE,NFO,45912
OFSS31JUL257400PE,NFO,46331
OFSS31JUL258800PE,NFO,46396
OFSS26JUN259500CE,NFO,46015
OFSS31JUL259600PE,NFO,46429
NBCC29MAY25124CE,NFO,46775
NBCC29MAY25111CE,NFO,46771
INDUSINDBK29MAY25540PE,NFO,46897
TITAN26JUN253880CE,NFO,46904
TITAN26JUN253880PE,NFO,46905
ANGELONE26JUN253050PE,NFO,47098
ANGELONE29MAY253050PE,NFO,47090
DIVISLAB29MAY257500CE,NFO,47372
INDUSINDBK26JUN25900PE,NFO,47136
BEL29MAY25415PE,NFO,47147
JIOFIN26JUN25295PE,NFO,47206
RBLBANK29MAY25227.5PE,NFO,47479
RBLBANK26JUN25225CE,NFO,47484
NBCC29MAY25128CE,NFO,48491
AARTIIND26JUN25530CE,NFO,48296
NBCC29MAY25128PE,NFO,48492
171NSETEST27NOV36FUT,NFO,48576
NIFTY22MAY2522100CE,NFO,49079
MCX29MAY257000PE,NFO,49004
NIFTY22MAY2522100PE,NFO,49080
NIFTY22MAY2522450PE,NFO,49096
NIFTY22MAY2523450PE,NFO,49148
NIFTY22MAY2523500PE,NFO,49150
NIFTY22MAY2523600CE,NFO,49153
NIFTY22MAY2523550PE,NFO,49152
NIFTY22MAY2524000PE,NFO,49183
NIFTY22MAY2524150CE,NFO,49188
TATAMOTORS26JUN25760CE,NFO,142831
TATAMOTORS26JUN25840PE,NFO,142840
TATAPOWER29MAY25355CE,NFO,142859
TATAMOTORS26JUN25720CE,NFO,142827
NIFTY22MAY2524350CE,NFO,49198
NIFTY22MAY2524200CE,NFO,49190
NIFTY22MAY2524450CE,NFO,49204
NIFTY22MAY2524700CE,NFO,49214
TATAPOWER29MAY25365CE,NFO,142861
TATAPOWER29MAY25415CE,NFO,142871
TATAPOWER26JUN25440PE,NFO,142938
TATAPOWER26JUN25370PE,NFO,142924
MIDCPNIFTY29MAY2513475PE,NFO,49235
MIDCPNIFTY29MAY2513550CE,NFO,49244
NIFTY22MAY2525250CE,NFO,49267
NIFTY22MAY2525300CE,NFO,49273
TATASTEEL29MAY25147.5PE,NFO,143058
TATASTEEL29MAY25135PE,NFO,143050
TATASTEEL29MAY25167.5CE,NFO,143069
TATASTEEL29MAY25155PE,NFO,143062
NIFTY22MAY2526750CE,NFO,49367
NIFTY22MAY2525600PE,NFO,49305
NIFTY22MAY2525650PE,NFO,49308
NIFTY22MAY2525700CE,NFO,49311
TATASTEEL29MAY25185CE,NFO,143079
TATASTEEL29MAY25167.5PE,NFO,143070
TATASTEEL26JUN25120CE,NFO,143105
TATASTEEL26JUN25110PE,NFO,143102
M&MFIN29MAY25250CE,NFO,50092
JIOFIN26JUN25305CE,NFO,50020
TITAGARH29MAY251040PE,NFO,133752
ULTRACEMCO26JUN2512700CE,NFO,133788
TATASTEEL26JUN25165CE,NFO,143133
TATASTEEL26JUN25155PE,NFO,143130
TATATECH29MAY25550PE,NFO,143158
TATASTEEL26JUN25150CE,NFO,143127
TATATECH29MAY25710CE,NFO,143173
TATATECH29MAY25670PE,NFO,143170
TATATECH29MAY25810CE,NFO,143189
TATATECH26JUN25540CE,NFO,143207
PRESTIGE26JUN251400PE,NFO,133844
PRESTIGE26JUN251440CE,NFO,133845
TITAN29MAY253100PE,NFO,133865
TITAN29MAY253600CE,NFO,133890
ULTRACEMCO31JUL2510600PE,NFO,133934
ULTRACEMCO31JUL2511200CE,NFO,133941
ULTRACEMCO31JUL2512400PE,NFO,133961
RAMCOCEM29MAY25850CE,NFO,133981
RBLBANK29MAY25192.5PE,NFO,134045
RBLBANK29MAY25187.5CE,NFO,134042
RAMCOCEM29MAY251050CE,NFO,134008
RAMCOCEM29MAY25970CE,NFO,134000
RBLBANK29MAY25197.5PE,NFO,134047
RBLBANK29MAY25202.5CE,NFO,134048
RBLBANK29MAY25212.5PE,NFO,134059
RBLBANK26JUN25215PE,NFO,134185
RBLBANK26JUN25230CE,NFO,134188
RECLTD29MAY25310PE,NFO,134193
RECLTD29MAY25350PE,NFO,134197
RECLTD29MAY25370CE,NFO,134198
RECLTD26JUN25340CE,NFO,134261
RECLTD26JUN25440PE,NFO,134272
UNIONBANK26JUN25132.5PE,NFO,134214
UNIONBANK26JUN25147.5PE,NFO,134220
RELIANCE29MAY251250PE,NFO,134389
UNIONBANK31JUL25110CE,NFO,134309
UNIONBANK31JUL25120CE,NFO,134313
UNITDSPR26JUN251580PE,NFO,134459
UNITDSPR26JUN251660CE,NFO,134462
UNITDSPR31JUL251400PE,NFO,134503
UNITDSPR31JUL251360PE,NFO,134501
UNITDSPR31JUL251560CE,NFO,134510
RELIANCE29MAY251530CE,NFO,134530
UPL26JUN25610PE,NFO,134609
UPL26JUN25710CE,NFO,134618
UPL26JUN25630CE,NFO,134610
UPL31JUL25560PE,NFO,134653
UPL31JUL25700PE,NFO,134674
UPL31JUL25660PE,NFO,134670
