symbol,token,exch_seg
LT25NOV253280CE,132750,NFO
UNITDSPR28OCT251280PE,132758,NFO
LT25NOV253720CE,132790,NFO
LT25NOV253860PE,132803,NFO
LT25NOV253940PE,132809,NFO
LT25NOV254040PE,132817,NFO
UNITDSPR28OCT251400PE,132838,NFO
UNITDSPR28OCT251600PE,132848,NFO
LT30DEC253440CE,132965,NFO
LT30DEC253560CE,132971,NFO
LT30DEC253840PE,133018,NFO
LT30DEC254080CE,133039,NFO
LT30DEC254160CE,133043,NFO
LTF25NOV25237.5PE,133156,NFO
LTF25NOV25252.5PE,133164,NFO
LTF25NOV25262.5PE,133168,NFO
LTF25NOV25287.5CE,133177,NFO
LTF30DEC25220CE,133233,NFO
LTF30DEC25250PE,133246,NFO
UPL28OCT25620CE,133337,NFO
UPL28OCT25640CE,133339,NFO
UPL28OCT25640PE,133340,NFO
UPL28OCT25700PE,133346,NFO
UPL28OCT25760CE,133353,NFO
LTIM28OCT255650PE,133390,NFO
LTIM28OCT255750PE,133392,NFO
VBL28OCT25380CE,133525,NFO
LTIM25NOV255500CE,133576,NFO
LTIM25NOV255650PE,133581,NFO
LTIM25NOV255900CE,133588,NFO
LTIM25NOV256100PE,133598,NFO
VBL28OCT25460PE,133628,NFO
VBL28OCT25480PE,133634,NFO
VBL28OCT25500PE,133636,NFO
LTIM30DEC254700CE,133679,NFO
VBL28OCT25560CE,133695,NFO
LTIM30DEC255600CE,133719,NFO
LUPIN30DEC251600CE,133908,NFO
LUPIN30DEC251880PE,133929,NFO
LUPIN30DEC252000CE,133934,NFO
LUPIN30DEC252040CE,133936,NFO
LUPIN30DEC252080PE,133941,NFO
M&M25NOV253350PE,134002,NFO
M&M25NOV253550CE,134005,NFO
M&M25NOV253650CE,134007,NFO
MANAPPURAM28OCT25257.5PE,134124,NFO
VOLTAS28OCT251240CE,134239,NFO
MANAPPURAM25NOV25245CE,134319,NFO
MANAPPURAM25NOV25255PE,134326,NFO
MANAPPURAM25NOV25257.5PE,134328,NFO
MANAPPURAM25NOV25265CE,134331,NFO
MANAPPURAM25NOV25292.5PE,134366,NFO
MANAPPURAM25NOV25307.5PE,134403,NFO
MANAPPURAM25NOV25335CE,134424,NFO
MANKIND25NOV252750CE,134651,NFO
MANAPPURAM30DEC25285PE,134546,NFO
MANAPPURAM30DEC25290CE,134547,NFO
MANAPPURAM30DEC25320PE,134560,NFO
MANKIND30DEC252300PE,134682,NFO
MARICO25NOV25630CE,134727,NFO
WIPRO28OCT25240CE,134762,NFO
WIPRO28OCT25240PE,134763,NFO
WIPRO28OCT25290CE,134782,NFO
WIPRO28OCT25295CE,134784,NFO
MARICO30DEC25720CE,134853,NFO
MARICO30DEC25840CE,134865,NFO
MARUTI30DEC2514600CE,135081,NFO
MARUTI30DEC2515800PE,135095,NFO
MARUTI30DEC2516200CE,135098,NFO
MARUTI30DEC2518000PE,135117,NFO
MAXHEALTH25NOV251140PE,135184,NFO
MAXHEALTH30DEC25960PE,135247,NFO
MAXHEALTH30DEC251000PE,135254,NFO
MAXHEALTH30DEC251080CE,135259,NFO
MAXHEALTH30DEC251080PE,135260,NFO
MAXHEALTH30DEC251120CE,135261,NFO
ZYDUSLIFE28OCT25820CE,135285,NFO
ZYDUSLIFE28OCT25840PE,135288,NFO
MAXHEALTH30DEC251160PE,135291,NFO
ZYDUSLIFE28OCT25940CE,135301,NFO
MAXHEALTH30DEC251240CE,135304,NFO
ZYDUSLIFE28OCT251120CE,135339,NFO
ZYDUSLIFE28OCT251180CE,135345,NFO
MAZDOCK25NOV252700CE,135455,NFO
MAZDOCK25NOV252750PE,135458,NFO
MAZDOCK25NOV252950PE,135464,NFO
MAZDOCK25NOV253050PE,135466,NFO
MAZDOCK25NOV253150PE,135470,NFO
MAZDOCK30DEC253100CE,135523,NFO
MCX25NOV257500CE,135565,NFO
MCX25NOV258100PE,135572,NFO
MCX30DEC257800PE,135632,NFO
MCX30DEC258400CE,135637,NFO
MCX30DEC259000CE,135643,NFO
MCX30DEC259200PE,135646,NFO
MFSL25NOV251580PE,135694,NFO
MFSL25NOV251700CE,135699,NFO
MFSL25NOV251740CE,135701,NFO
MFSL30DEC251600PE,135800,NFO
MFSL30DEC251640CE,135801,NFO
MOTHERSON28OCT2586PE,135864,NFO
MOTHERSON28OCT2594PE,135878,NFO
MOTHERSON28OCT2596PE,135880,NFO
MOTHERSON28OCT25103CE,135891,NFO
MOTHERSON28OCT25104CE,135893,NFO
MOTHERSON28OCT25106CE,135895,NFO
MOTHERSON28OCT25106PE,135896,NFO
MOTHERSON28OCT25114PE,135910,NFO
MOTHERSON25NOV2586PE,135996,NFO
MOTHERSON25NOV2594PE,136010,NFO
MOTHERSON25NOV2598PE,136016,NFO
MOTHERSON25NOV2599PE,136018,NFO
MOTHERSON25NOV25109PE,136034,NFO
MOTHERSON25NOV25111CE,136035,NFO
MOTHERSON25NOV25118PE,136048,NFO
MOTHERSON30DEC2592PE,136152,NFO
MOTHERSON30DEC25106CE,136173,NFO
MOTHERSON30DEC25112CE,136179,NFO
MOTHERSON30DEC25112PE,136180,NFO
MOTHERSON30DEC25116PE,136184,NFO
MPHASIS25NOV252850PE,136246,NFO
MPHASIS30DEC252500CE,136279,NFO
MPHASIS30DEC252600CE,136281,NFO
MPHASIS30DEC252800PE,136286,NFO
MUTHOOTFIN25NOV253550PE,136334,NFO
MUTHOOTFIN30DEC252900PE,136367,NFO
INDIGO25NOV256300PE,118889,NFO
SHRIRAMFIN25NOV25740CE,118937,NFO
SIEMENS28OCT253050CE,119150,NFO
MUTHOOTFIN30DEC253000CE,136368,NFO
INDIGO30DEC255400PE,119203,NFO
SIEMENS25NOV252700PE,119209,NFO
INDIGO30DEC255700PE,119221,NFO
INDIGO30DEC255900PE,119229,NFO
SIEMENS25NOV253700CE,119289,NFO
INDUSINDBK25NOV25730CE,119364,NFO
POLYCAB28OCT256800PE,119411,NFO
SOLARINDS28OCT2514750CE,119435,NFO
SOLARINDS25NOV2514000CE,119540,NFO
SOLARINDS25NOV2514000PE,119541,NFO
SONACOMS28OCT25450CE,119620,NFO
SONACOMS28OCT25470CE,119622,NFO
SONACOMS25NOV25400CE,119744,NFO
SONACOMS25NOV25480CE,119758,NFO
INDUSINDBK30DEC25740PE,119794,NFO
INDUSINDBK30DEC25760PE,119796,NFO
INDUSINDBK30DEC25880PE,119825,NFO
PPLPHARMA28OCT25170PE,119861,NFO
SRF28OCT252950PE,119868,NFO
SRF28OCT253050PE,119871,NFO
SRF28OCT253250PE,119878,NFO
PPLPHARMA28OCT25240CE,119894,NFO
PPLPHARMA28OCT25240PE,119898,NFO
SRF25NOV252700CE,119919,NFO
SRF25NOV253100CE,119927,NFO
INDUSTOWER25NOV25315PE,120049,NFO
INDUSTOWER25NOV25345PE,120057,NFO
INDUSTOWER25NOV25375PE,120063,NFO
INDUSTOWER25NOV25385PE,120065,NFO
INDUSTOWER25NOV25395CE,120066,NFO
PRESTIGE28OCT251600PE,120101,NFO
PRESTIGE28OCT251640CE,120102,NFO
PRESTIGE28OCT251680CE,120109,NFO
PRESTIGE28OCT251720PE,120120,NFO
PRESTIGE28OCT251880PE,120137,NFO
SUNPHARMA28OCT251780CE,120195,NFO
SUNPHARMA28OCT251820PE,120198,NFO
SUNPHARMA25NOV251560CE,120339,NFO
SUNPHARMA25NOV251600PE,120342,NFO
SUNPHARMA25NOV251640PE,120346,NFO
SUNPHARMA25NOV251680CE,120347,NFO
SUNPHARMA25NOV251840CE,120355,NFO
RBLBANK28OCT25240PE,120363,NFO
RBLBANK28OCT25250CE,120366,NFO
RBLBANK28OCT25250PE,120367,NFO
INDUSTOWER30DEC25370CE,120389,NFO
INDUSTOWER30DEC25380CE,120393,NFO
RBLBANK28OCT25330PE,120411,NFO
INDUSTOWER30DEC25420CE,120418,NFO
INFY25NOV251300PE,120482,NFO
SUPREMEIND25NOV254000CE,120537,NFO
RECLTD28OCT25480PE,120575,NFO
INFY25NOV251540CE,120613,NFO
INFY25NOV251660CE,120620,NFO
SUZLON28OCT2547CE,120784,NFO
SUZLON28OCT2547PE,120785,NFO
SUZLON28OCT2551PE,120789,NFO
SUZLON28OCT2561CE,120840,NFO
RELIANCE28OCT251160CE,120861,NFO
INFY30DEC251400PE,120908,NFO
INFY30DEC251520CE,120914,NFO
RELIANCE28OCT251260PE,120921,NFO
SUZLON25NOV2554PE,120933,NFO
SUZLON25NOV2556CE,120934,NFO
RELIANCE28OCT251340CE,120957,NFO
SUZLON25NOV2556PE,120935,NFO
SUZLON25NOV2558PE,120937,NFO
RELIANCE28OCT251320CE,120955,NFO
INFY30DEC251680PE,120967,NFO
RELIANCE28OCT251380CE,120969,NFO
RELIANCE28OCT251400CE,120971,NFO
RELIANCE28OCT251460PE,121001,NFO
RELIANCE28OCT251540PE,121009,NFO
INOXWIND28OCT25157.5PE,121086,NFO
INOXWIND25NOV25137.5PE,121223,NFO
INOXWIND25NOV25157.5CE,121281,NFO
INOXWIND25NOV25165PE,121291,NFO
SYNGENE25NOV25600CE,121306,NFO
SYNGENE25NOV25620PE,121312,NFO
RVNL28OCT25260CE,121314,NFO
RVNL28OCT25260PE,121317,NFO
RVNL28OCT25320CE,121332,NFO
RVNL28OCT25340CE,121334,NFO
INOXWIND30DEC25125PE,121369,NFO
INOXWIND30DEC25130CE,121370,NFO
TATACONSUM28OCT251050CE,121576,NFO
TATACONSUM28OCT251110CE,121588,NFO
TATACONSUM25NOV25960CE,121737,NFO
TATACONSUM25NOV251260CE,121872,NFO
TATACONSUM25NOV251040CE,121745,NFO
TATACONSUM25NOV251160PE,121805,NFO
SBICARD28OCT25820PE,121850,NFO
SBICARD28OCT251060PE,121905,NFO
SBICARD28OCT25960PE,121895,NFO
SBICARD28OCT251000CE,121898,NFO
SBICARD28OCT251040PE,121903,NFO
IOC28OCT25132CE,121947,NFO
TATAELXSI28OCT254700CE,122013,NFO
TATAELXSI28OCT255900CE,122025,NFO
TATAELXSI28OCT256500PE,122032,NFO
IOC28OCT25138PE,122043,NFO
IOC28OCT25139PE,122045,NFO
IOC28OCT25141CE,122046,NFO
IOC28OCT25149PE,122074,NFO
IOC28OCT25153PE,122080,NFO
TATAMOTORS28OCT25670PE,122203,NFO
IOC28OCT25168PE,122115,NFO
TATAMOTORS28OCT25590PE,122194,NFO
TATAMOTORS28OCT25750PE,122211,NFO
IOC25NOV25139PE,122390,NFO
TATAMOTORS25NOV25660CE,122434,NFO
IOC25NOV25151CE,122467,NFO
IOC25NOV25157CE,122477,NFO
IOC25NOV25159CE,122481,NFO
TATAMOTORS25NOV25720PE,122494,NFO
IOC25NOV25164PE,122500,NFO
IOC25NOV25166PE,122502,NFO
TATAMOTORS25NOV25800PE,122525,NFO
TATAPOWER28OCT25385CE,122642,NFO
TATAPOWER28OCT25435PE,122653,NFO
TATAPOWER25NOV25330PE,122691,NFO
TATAPOWER25NOV25350PE,122695,NFO
TATASTEEL28OCT25147.5CE,122808,NFO
IOC30DEC25136PE,122889,NFO
IOC30DEC25140PE,122893,NFO
IOC30DEC25158CE,122922,NFO
TATASTEEL28OCT25167.5CE,122929,NFO
SBIN28OCT25720PE,123030,NFO
SBIN28OCT25760PE,123034,NFO
SBIN28OCT25860CE,123043,NFO
SBIN28OCT25860PE,123044,NFO
SBIN28OCT25920CE,123056,NFO
SBIN28OCT25960PE,123062,NFO
TATASTEEL25NOV25165PE,123092,NFO
TATASTEEL25NOV25190CE,123106,NFO
TATATECH28OCT25630CE,123191,NFO
TATATECH25NOV25600CE,123247,NFO
TATATECH25NOV25640CE,123251,NFO
TATATECH25NOV25740CE,123261,NFO
TATATECH25NOV25740PE,123262,NFO
TATATECH25NOV25760CE,123263,NFO
TCS28OCT252660PE,123370,NFO
TCS28OCT252780PE,123376,NFO
TCS28OCT252860PE,123380,NFO
TCS28OCT252900CE,123381,NFO
TCS28OCT252940PE,123386,NFO
SHREECEM28OCT2526000PE,123408,NFO
SHREECEM28OCT2527000PE,123412,NFO
SHREECEM28OCT2528500PE,123420,NFO
SHREECEM28OCT2529000PE,123422,NFO
SHREECEM28OCT2530000PE,123426,NFO
SHREECEM28OCT2532500PE,123436,NFO
SHREECEM28OCT2534000PE,123442,NFO
IRCTC28OCT25655CE,123476,NFO
TCS28OCT253100CE,123480,NFO
TCS28OCT253100PE,123481,NFO
IRCTC28OCT25655PE,123487,NFO
TCS28OCT253300CE,123492,NFO
IRCTC28OCT25725CE,123547,NFO
TCS28OCT253380CE,123575,NFO
TCS28OCT253420CE,123580,NFO
TCS25NOV252560PE,123674,NFO
TCS25NOV252600PE,123676,NFO
TCS25NOV253040CE,123730,NFO
SHRIRAMFIN28OCT25520PE,123766,NFO
TCS25NOV253160CE,123768,NFO
TCS25NOV253400PE,123788,NFO
SHRIRAMFIN28OCT25660PE,123823,NFO
SHRIRAMFIN28OCT25680PE,123825,NFO
IRCTC25NOV25710CE,123859,NFO
TECHM28OCT251340PE,123979,NFO
TECHM28OCT251540PE,123994,NFO
SIEMENS28OCT252600CE,124072,NFO
SIEMENS28OCT252800CE,124104,NFO
TECHM25NOV251280PE,124125,NFO
TECHM25NOV251560CE,124144,NFO
TIINDIA28OCT252850CE,124287,NFO
IRCTC30DEC25700PE,124378,NFO
IRCTC30DEC25710CE,124379,NFO
IRCTC30DEC25710PE,124380,NFO
SOLARINDS28OCT2514000PE,124390,NFO
SOLARINDS28OCT2517000CE,124414,NFO
IRCTC30DEC25820PE,124433,NFO
TIINDIA25NOV253200PE,124467,NFO
TIINDIA25NOV253500PE,124473,NFO
TIINDIA25NOV253600PE,124475,NFO
TITAGARH28OCT25780CE,124542,NFO
TITAGARH28OCT251020CE,124554,NFO
TITAGARH28OCT251020PE,124555,NFO
SONACOMS28OCT25340CE,124598,NFO
SONACOMS28OCT25420CE,124606,NFO
SONACOMS28OCT25480PE,124622,NFO
TITAGARH25NOV25760PE,124658,NFO
TITAGARH25NOV25960PE,124693,NFO
TITAN28OCT253450CE,124739,NFO
SONACOMS28OCT25520PE,124768,NFO
TITAN25NOV253000CE,124884,NFO
SRF28OCT253100PE,124914,NFO
TITAN25NOV253200PE,124940,NFO
TITAN25NOV253300CE,124941,NFO
TITAN25NOV253700CE,124949,NFO
TORNTPHARM28OCT253250PE,125029,NFO
TORNTPHARM28OCT253450PE,125033,NFO
TORNTPHARM28OCT253650CE,125036,NFO
TORNTPHARM28OCT253950CE,125042,NFO
IREDA25NOV25155PE,125048,NFO
IREDA25NOV25162.5PE,125052,NFO
IREDA25NOV25165PE,125077,NFO
IREDA25NOV25167.5CE,125087,NFO
TORNTPHARM25NOV253700PE,125209,NFO
IREDA30DEC25160CE,125291,NFO
SUNPHARMA28OCT251400PE,125305,NFO
SUNPHARMA28OCT251640CE,125316,NFO
SUNPHARMA28OCT251680CE,125318,NFO
SUNPHARMA28OCT251720CE,125320,NFO
SUNPHARMA28OCT251720PE,125321,NFO
SUNPHARMA28OCT251760CE,125322,NFO
SUNPHARMA28OCT251840CE,125326,NFO
TORNTPOWER25NOV251040CE,125447,NFO
TORNTPOWER25NOV251080CE,125449,NFO
IRFC28OCT25108PE,125499,NFO
IRFC28OCT25112CE,125504,NFO
IRFC28OCT25116PE,125511,NFO
IRFC28OCT25119CE,125517,NFO
IRFC28OCT25121CE,125520,NFO
IRFC28OCT25121PE,125521,NFO
IRFC28OCT25128CE,125556,NFO
IRFC28OCT25128PE,125557,NFO
SUPREMEIND28OCT253600CE,125562,NFO
SUPREMEIND28OCT254400PE,125571,NFO
TRENT28OCT254300CE,125583,NFO
IRFC28OCT25134CE,125622,NFO
IRFC28OCT25137CE,125626,NFO
IRFC28OCT25137PE,125627,NFO
IRFC25NOV25113CE,125791,NFO
TRENT25NOV254000CE,125816,NFO
TRENT25NOV254200CE,125820,NFO
TRENT25NOV254200PE,125839,NFO
TRENT25NOV255400CE,125850,NFO
TVSMOTOR28OCT253250CE,125890,NFO
TVSMOTOR28OCT253650CE,125898,NFO
IRFC25NOV25126CE,125904,NFO
IRFC25NOV25127CE,125906,NFO
TVSMOTOR25NOV253200PE,125962,NFO
IRFC25NOV25146CE,125974,NFO
TVSMOTOR25NOV253900PE,126046,NFO
ULTRACEMCO28OCT2511100CE,126090,NFO
ULTRACEMCO28OCT2511700CE,126096,NFO
IRFC30DEC25114CE,126107,NFO
IRFC30DEC25120PE,126114,NFO
IRFC30DEC25122CE,126115,NFO
IRFC30DEC25124CE,126117,NFO
IRFC30DEC25126PE,126120,NFO
IRFC30DEC25132CE,126125,NFO
IRFC30DEC25136PE,126130,NFO
ULTRACEMCO28OCT2512100CE,126133,NFO
ULTRACEMCO28OCT2512300PE,126146,NFO
IRFC30DEC25144PE,126171,NFO
ULTRACEMCO25NOV2512400CE,126336,NFO
ULTRACEMCO25NOV2512600CE,126340,NFO
ULTRACEMCO25NOV2513200PE,126361,NFO
ITC28OCT25377.5CE,126382,NFO
ITC28OCT25407.5PE,126409,NFO
ULTRACEMCO25NOV2514000PE,126476,NFO
SUZLON28OCT2556PE,126551,NFO
SUZLON28OCT2560CE,126562,NFO
SUZLON28OCT2564PE,126581,NFO
UNIONBANK28OCT25122.5PE,126584,NFO
UNIONBANK28OCT25132.5CE,126587,NFO
UNIONBANK28OCT25142.5CE,126595,NFO
UNIONBANK28OCT25147.5CE,126685,NFO
SYNGENE28OCT25640PE,126760,NFO
SYNGENE28OCT25700CE,126765,NFO
SYNGENE28OCT25740CE,126773,NFO
UNIONBANK25NOV25145PE,126789,NFO
SYNGENE28OCT25760PE,126792,NFO
UNIONBANK25NOV25160CE,126800,NFO
ITC25NOV25372.5PE,126841,NFO
ITC25NOV25377.5CE,126873,NFO
UNITDSPR28OCT251500PE,126891,NFO
UNITDSPR25NOV251280PE,126953,NFO
UNITDSPR25NOV251320PE,126955,NFO
UNITDSPR25NOV251400PE,126959,NFO
ITC25NOV25402.5CE,126972,NFO
ITC25NOV25402.5PE,126973,NFO
ITC25NOV25412.5CE,126978,NFO
UNITDSPR25NOV251600PE,126987,NFO
ITC25NOV25415CE,127003,NFO
ITC25NOV25415PE,127004,NFO
ITC25NOV25425PE,127010,NFO
ITC25NOV25432.5PE,127014,NFO
ITC25NOV25445CE,127021,NFO
UNOMINDA28OCT251260PE,127088,NFO
UNOMINDA28OCT251380CE,127095,NFO
UNOMINDA25NOV251160CE,127140,NFO
UNOMINDA25NOV251160PE,127141,NFO
UNOMINDA25NOV251200PE,127143,NFO
UNOMINDA25NOV251360PE,127151,NFO
ITC30DEC25360PE,127218,NFO
ITC30DEC25350CE,127203,NFO
ITC30DEC25370CE,127221,NFO
ITC30DEC25375CE,127223,NFO
UNOMINDA25NOV251560PE,127246,NFO
UPL28OCT25590CE,127269,NFO
UPL28OCT25730CE,127342,NFO
ITC30DEC25400PE,127346,NFO
ITC30DEC25410CE,127351,NFO
TATACONSUM28OCT251120CE,127533,NFO
TATACONSUM28OCT251180PE,127540,NFO
VBL28OCT25470PE,127680,NFO
TATACONSUM28OCT251280PE,127575,NFO
TATACONSUM28OCT251300CE,127576,NFO
VBL28OCT25490CE,127681,NFO
JINDALSTEL25NOV25910PE,127730,NFO
JINDALSTEL25NOV25950CE,127741,NFO
VBL28OCT25550PE,127742,NFO
JINDALSTEL25NOV251170CE,127823,NFO
TATAELXSI28OCT256200PE,127826,NFO
VBL25NOV25380CE,127885,NFO
VBL25NOV25400PE,127892,NFO
VBL25NOV25420CE,127893,NFO
VEDL28OCT25430PE,127972,NFO
VEDL28OCT25450PE,127974,NFO
VEDL25NOV25420CE,128010,NFO
VEDL25NOV25520CE,128020,NFO
VEDL25NOV25540PE,128023,NFO
VOLTAS28OCT251260CE,128050,NFO
VOLTAS28OCT251380CE,128067,NFO
VOLTAS28OCT251500CE,128094,NFO
VOLTAS28OCT251540CE,128096,NFO
JINDALSTEL30DEC251000CE,128185,NFO
JINDALSTEL30DEC251080PE,128194,NFO
TATAMOTORS28OCT25660CE,128226,NFO
VOLTAS25NOV251480CE,128271,NFO
JIOFIN25NOV25305PE,128446,NFO
TATAPOWER28OCT25350CE,128501,NFO
TATAPOWER28OCT25360PE,128504,NFO
WIPRO28OCT25217.5CE,128505,NFO
WIPRO28OCT25217.5PE,128506,NFO
WIPRO28OCT25257.5PE,128582,NFO
WIPRO28OCT25267.5CE,128593,NFO
WIPRO28OCT25272.5CE,128595,NFO
WIPRO25NOV25205PE,128662,NFO
WIPRO25NOV25245PE,128710,NFO
WIPRO25NOV25250PE,128724,NFO
WIPRO25NOV25260PE,128737,NFO
WIPRO25NOV25285CE,128771,NFO
TATASTEEL28OCT25170CE,128783,NFO
TATASTEEL28OCT25190CE,128791,NFO
WIPRO25NOV25300PE,128812,NFO
JIOFIN30DEC25310PE,128820,NFO
JIOFIN30DEC25340PE,128826,NFO
JSWENERGY25NOV25510PE,128852,NFO
YESBANK28OCT2517PE,128916,NFO
YESBANK28OCT2519CE,128917,NFO
JSWENERGY30DEC25580CE,129005,NFO
ZYDUSLIFE28OCT25910PE,129121,NFO
ZYDUSLIFE28OCT251010PE,129153,NFO
JSWSTEEL25NOV251070CE,129174,NFO
JSWSTEEL25NOV251090PE,129177,NFO
ZYDUSLIFE28OCT251070PE,129182,NFO
ZYDUSLIFE28OCT251090CE,129183,NFO
JSWSTEEL25NOV251190CE,129196,NFO
JSWSTEEL25NOV251230PE,129239,NFO
JSWSTEEL30DEC251220CE,129541,NFO
ZYDUSLIFE25NOV251140CE,129408,NFO
JSWSTEEL30DEC251080CE,129512,NFO
JSWSTEEL30DEC251180CE,129537,NFO
JSWSTEEL30DEC251240PE,129544,NFO
JSWSTEEL30DEC251280CE,129547,NFO
JSWSTEEL30DEC251280PE,129548,NFO
TCS28OCT252560PE,129621,NFO
TCS28OCT253240PE,129690,NFO
TCS28OCT253280CE,129691,NFO
TCS28OCT253600PE,129716,NFO
JUBLFOOD25NOV25590CE,129725,NFO
JUBLFOOD25NOV25630CE,129754,NFO
JUBLFOOD30DEC25520PE,129819,NFO
JUBLFOOD30DEC25640CE,129833,NFO
TECHM28OCT251680PE,130051,NFO
KAYNES25NOV256700CE,130076,NFO
KAYNES30DEC256400PE,130178,NFO
KAYNES30DEC257000CE,130183,NFO
KAYNES30DEC257400PE,130188,NFO
KAYNES30DEC257600CE,130189,NFO
KAYNES30DEC258200PE,130206,NFO
TIINDIA28OCT252900CE,130256,NFO
TIINDIA28OCT253100PE,130263,NFO
KEI25NOV254550CE,130312,NFO
KEI30DEC253400PE,130355,NFO
KEI30DEC254000CE,130366,NFO
KEI30DEC254600PE,130379,NFO
KEI30DEC254800CE,130382,NFO
TITAGARH28OCT25800PE,130454,NFO
TITAGARH28OCT25880PE,130465,NFO
TITAGARH28OCT25920PE,130469,NFO
KFINTECH28OCT25940CE,130473,NFO
KFINTECH28OCT251180CE,130493,NFO
KFINTECH28OCT251180PE,130494,NFO
TITAGARH28OCT251040PE,130519,NFO
TITAGARH28OCT251080CE,130545,NFO
KFINTECH25NOV25880CE,130574,NFO
KFINTECH25NOV25940CE,130578,NFO
KFINTECH25NOV25940PE,130579,NFO
KFINTECH25NOV251020CE,130584,NFO
KFINTECH25NOV251040PE,130587,NFO
KFINTECH25NOV251080PE,130591,NFO
KFINTECH25NOV251160CE,130600,NFO
KFINTECH25NOV251240PE,130607,NFO
TITAN28OCT253200PE,130703,NFO
TITAN28OCT253300PE,130706,NFO
TITAN28OCT253500CE,130711,NFO
TITAN28OCT253800PE,130718,NFO
KFINTECH30DEC251080CE,130729,NFO
KFINTECH30DEC251160PE,130734,NFO
TITAN28OCT253600CE,130713,NFO
KOTAKBANK25NOV251900CE,130782,NFO
KOTAKBANK25NOV252020CE,130788,NFO
KOTAKBANK25NOV252100CE,130792,NFO
KOTAKBANK25NOV252140CE,130794,NFO
KOTAKBANK25NOV252340PE,130822,NFO
TORNTPHARM28OCT253200CE,130916,NFO
TORNTPHARM28OCT253700PE,130927,NFO
KOTAKBANK30DEC251880PE,130975,NFO
KOTAKBANK30DEC252040CE,130986,NFO
KOTAKBANK30DEC252040PE,130989,NFO
KOTAKBANK30DEC252280PE,131003,NFO
KOTAKBANK30DEC252360PE,131007,NFO
KPITTECH25NOV251060PE,131066,NFO
KPITTECH25NOV251100PE,131068,NFO
KPITTECH25NOV251180PE,131072,NFO
KPITTECH25NOV251260PE,131076,NFO
TORNTPOWER28OCT251200PE,131178,NFO
KPITTECH30DEC251200CE,131187,NFO
KPITTECH30DEC251360PE,131198,NFO
TORNTPOWER28OCT251360PE,131269,NFO
LAURUSLABS25NOV25910CE,131337,NFO
LAURUSLABS30DEC25860CE,131408,NFO
LAURUSLABS30DEC25900PE,131422,NFO
LAURUSLABS30DEC25920CE,131424,NFO
LAURUSLABS30DEC25960PE,131429,NFO
TRENT28OCT254600PE,131472,NFO
TRENT28OCT254800PE,131474,NFO
LICHSGFIN28OCT25525CE,131544,NFO
LICHSGFIN28OCT25605CE,131560,NFO
LICHSGFIN28OCT25605PE,131561,NFO
LICHSGFIN28OCT25615PE,131563,NFO
LICHSGFIN25NOV25530CE,131652,NFO
LICHSGFIN25NOV25530PE,131653,NFO
LICHSGFIN25NOV25595PE,131676,NFO
LICHSGFIN30DEC25560CE,131831,NFO
LICHSGFIN30DEC25560PE,131832,NFO
LICHSGFIN30DEC25590CE,131837,NFO
LICHSGFIN30DEC25660PE,131853,NFO
LICI25NOV25850CE,131973,NFO
LICI30DEC25820CE,132076,NFO
LICI30DEC25860PE,132081,NFO
LICI30DEC25880PE,132083,NFO
LICI30DEC25960PE,132091,NFO
LICI30DEC25980CE,132092,NFO
ULTRACEMCO28OCT2511000CE,132172,NFO
LODHA25NOV251140CE,132189,NFO
LODHA25NOV251180CE,132191,NFO
ULTRACEMCO28OCT2512000CE,132215,NFO
ULTRACEMCO28OCT2513600CE,132258,NFO
LODHA30DEC251280CE,132259,NFO
ULTRACEMCO28OCT2513600PE,132263,NFO
LT28OCT253240PE,132333,NFO
ULTRACEMCO28OCT2514000CE,132344,NFO
LT28OCT253680PE,132446,NFO
LT28OCT253740CE,132449,NFO
LT28OCT253760CE,132451,NFO
LT28OCT253880CE,132461,NFO
LT28OCT254040CE,132493,NFO
LT28OCT254080PE,132500,NFO
LT28OCT254120PE,132502,NFO
LT28OCT254160PE,132506,NFO
UNIONBANK28OCT25115CE,132607,NFO
UNIONBANK28OCT25125CE,132619,NFO
UNIONBANK28OCT25135PE,132627,NFO
UNITDSPR28OCT251320CE,132759,NFO
UNIONBANK28OCT25145CE,132636,NFO
UNIONBANK28OCT25150CE,132638,NFO
UNITDSPR28OCT251160CE,132740,NFO
LT25NOV254120PE,132823,NFO
LT25NOV254160CE,132826,NFO
UNITDSPR28OCT251520CE,132843,NFO
UNOMINDA28OCT251160PE,132993,NFO
UNOMINDA28OCT251240CE,132996,NFO
LT30DEC253760PE,133009,NFO
UNOMINDA28OCT251360PE,133013,NFO
UNOMINDA28OCT251440CE,133020,NFO
LT30DEC254000PE,133036,NFO
LTF25NOV25242.5PE,133160,NFO
LTF25NOV25257.5PE,133166,NFO
LTF30DEC25285CE,133261,NFO
LTF30DEC25300CE,133267,NFO
UPL28OCT25600PE,133336,NFO
UPL28OCT25680CE,133343,NFO
UPL28OCT25780PE,133360,NFO
INDUSINDBK25NOV25770PE,119369,NFO
INDIGO30DEC256200PE,119266,NFO
INDUSINDBK25NOV25690PE,119361,NFO
LTIM28OCT255450CE,133377,NFO
INDUSINDBK25NOV25810PE,119373,NFO
POLYCAB28OCT256600PE,119409,NFO
POLYCAB28OCT258000PE,119424,NFO
SOLARINDS28OCT2513750CE,119430,NFO
SOLARINDS25NOV2512000CE,119506,NFO
SOLARINDS25NOV2513000PE,119537,NFO
SOLARINDS25NOV2515000PE,119549,NFO
