SYMBOL,NAME OF COMPANY,normalizedName
20MICRONS,20 Microns Limited,20 microns
21STCENMGM,21st Century Management Services Limited,21st century management services
360ONE,360 ONE WAM LIMITED,360 one wam
3IINFOLTD,3i Infotech Limited,3i infotech
3MINDIA,3M India Limited,3m
3PLAND,3P Land Holdings Limited,3p land holdings
5PAISA,5Paisa Capital Limited,5paisa capital
63MOONS,63 moons technologies limited,63 moons technologies
A2ZINFRA,A2Z Infra Engineering Limited,a2z infra engineering
AAATECH,AAA Technologies Limited,aaa technologies
AADHARHFC,Aadhar Housing Finance Limited,aadhar housing finance
AAKASH,Aakash Exploration Services Limited,aakash exploration services
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,aarey drugs pharmaceuticals
AARON,Aaron Industries Limited,aaron
AARTECH,Aartech Solonics Limited,aartech solonics
AARTIDRUGS,Aarti Drugs Limited,aarti drugs
AARTIIND,Aarti Industries Limited,aarti
AARTIPHARM,Aarti Pharmalabs Limited,aarti pharmalabs
AARTISURF,Aarti Surfactants Limited,aarti surfactants
AARVEEDEN,Aarvee Denims & Exports Limited,aarvee denims exports
AARVI,Aarvi Encon Limited,aarvi encon
AAVAS,Aavas Financiers Limited,aavas financiers
ABAN,Aban Offshore Limited,aban offshore
ABB,ABB India Limited,abb
ABBOTINDIA,Abbott India Limited,abbott
ABCAPITAL,Aditya Birla Capital Limited,aditya birla capital
ABDL,Allied Blenders and Distillers Limited,allied blenders and distillers
ABFRL,Aditya Birla Fashion and Retail Limited,aditya birla fashion and retail
ABINFRA,A B Infrabuild Limited,a b infrabuild
ABLBL,Aditya Birla Lifestyle Brands Limited,aditya birla lifestyle brands
ABMINTLLTD,ABM International Limited,abm international
ABREL,Aditya Birla Real Estate Limited,aditya birla real estate
ABSLAMC,Aditya Birla Sun Life AMC Limited,aditya birla sun life amc
ACC,ACC Limited,acc
ACCELYA,Accelya Solutions India Limited,accelya solutions
ACCURACY,Accuracy Shipping Limited,accuracy shipping
ACE,Action Construction Equipment Limited,action construction equipment
ACEINTEG,Ace Integrated Solutions Limited,ace integrated solutions
ACI,Archean Chemical Industries Limited,archean chemical
ACL,Andhra Cements Limited,andhra cements
ACLGATI,Allcargo Gati Limited,allcargo gati
ACMESOLAR,Acme Solar Holdings Limited,acme solar holdings
ACUTAAS,Acutaas Chemicals Limited,acutaas chemicals
ADANIENSOL,Adani Energy Solutions Limited,adani energy solutions
ADANIENT,Adani Enterprises Limited,adani enterprises
ADANIGREEN,Adani Green Energy Limited,adani green energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,adani ports and special economic zone
ADANIPOWER,Adani Power Limited,adani power
ADFFOODS,ADF Foods Limited,adf foods
ADL,Archidply Decor Limited,archidply decor
ADOR,Ador Welding Limited,ador welding
ADROITINFO,Adroit Infotech Limited,adroit infotech
ADSL,Allied Digital Services Limited,allied digital services
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,advani hotels resorts
ADVENZYMES,Advanced Enzyme Technologies Limited,advanced enzyme technologies
AEGISLOG,Aegis Logistics Limited,aegis logistics
AEGISVOPAK,Aegis Vopak Terminals Limited,aegis vopak terminals
AEROENTER,Aeroflex Enterprises Limited,aeroflex enterprises
AEROFLEX,Aeroflex Industries Limited,aeroflex
AERONEU,Aeroflex Neu Limited,aeroflex neu
AETHER,Aether Industries Limited,aether
AFCONS,Afcons Infrastructure Limited,afcons infrastructure
AFFLE,Affle 3i Limited,affle 3i
AFFORDABLE,Affordable Robotic & Automation Limited,affordable robotic automation
AFIL,Akme Fintrade (India) Limited,akme fintrade
AFSL,Abans Financial Services Limited,abans financial services
AGARIND,Agarwal Industrial Corporation Limited,agarwal industrial corporation
AGARWALEYE,Dr. Agarwal's Health Care Limited,dr agarwal s health care
AGI,AGI Greenpac Limited,agi greenpac
AGIIL,Agi Infra Limited,agi infra
AGRITECH,Agri-Tech (India) Limited,agri tech
AGROPHOS,Agro Phos India Limited,agro phos
AGSTRA,AGS Transact Technologies Limited,ags transact technologies
AHCL,Anlon Healthcare Limited,anlon healthcare
AHLADA,Ahlada Engineers Limited,ahlada engineers
AHLEAST,Asian Hotels (East) Limited,asian hotels east
AHLUCONT,Ahluwalia Contracts (India) Limited,ahluwalia contracts
AIAENG,AIA Engineering Limited,aia engineering
AIIL,Authum Investment & Infrastructure Limited,authum investment infrastructure
AIRAN,Airan Limited,airan
AIROLAM,Airo Lam limited,airo lam
AJANTPHARM,Ajanta Pharma Limited,ajanta pharma
AJAXENGG,Ajax Engineering Limited,ajax engineering
AJMERA,Ajmera Realty & Infra India Limited,ajmera realty infra
AJOONI,Ajooni Biotech Limited,ajooni biotech
AKASH,Akash Infra-Projects Limited,akash infra projects
AKG,Akg Exim Limited,akg exim
AKI,AKI India Limited,aki
AKSHAR,Akshar Spintex Limited,akshar spintex
AKSHARCHEM,AksharChem India Limited,aksharchem
AKSHOPTFBR,Aksh Optifibre Limited,aksh optifibre
AKUMS,Akums Drugs and Pharmaceuticals Limited,akums drugs and pharmaceuticals
AKZOINDIA,Akzo Nobel India Limited,akzo nobel
ALANKIT,Alankit Limited,alankit
ALBERTDAVD,Albert David Limited,albert david
ALEMBICLTD,Alembic Limited,alembic
ALICON,Alicon Castalloy Limited,alicon castalloy
ALIVUS,Alivus Life Sciences Limited,alivus life sciences
ALKALI,Alkali Metals Limited,alkali metals
ALKEM,Alkem Laboratories Limited,alkem laboratories
ALKYLAMINE,Alkyl Amines Chemicals Limited,alkyl amines chemicals
ALLCARGO,Allcargo Logistics Limited,allcargo logistics
ALLDIGI,Alldigi Tech Limited,alldigi tech
ALLTIME,All Time Plastics Limited,all time plastics
ALMONDZ,Almondz Global Securities Limited,almondz global securities
ALOKINDS,Alok Industries Limited,alok
ALPA,Alpa Laboratories Limited,alpa laboratories
ALPHAGEO,Alphageo (India) Limited,alphageo
ALPSINDUS,Alps Industries Limited,alps
AMANTA,Amanta Healthcare Limited,amanta healthcare
AMBER,Amber Enterprises India Limited,amber enterprises
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,ambica agarbathies aroma
AMBIKCO,Ambika Cotton Mills Limited,ambika cotton mills
AMBUJACEM,Ambuja Cements Limited,ambuja cements
AMDIND,AMD Industries Limited,amd
AMJLAND,Amj Land Holdings Limited,amj land holdings
AMNPLST,Amines & Plasticizers Limited,amines plasticizers
AMRUTANJAN,Amrutanjan Health Care Limited,amrutanjan health care
ANANDRATHI,Anand Rathi Wealth Limited,anand rathi wealth
ANANTRAJ,Anant Raj Limited,anant raj
ANDHRAPAP,ANDHRA PAPER LIMITED,andhra paper
ANDHRSUGAR,The Andhra Sugars Limited,the andhra sugars
ANGELONE,Angel One Limited,angel one
ANIKINDS,Anik Industries Limited,anik
ANKITMETAL,Ankit Metal & Power Limited,ankit metal power
ANMOL,Anmol India Limited,anmol
ANSALAPI,Ansal Properties & Infrastructure Limited,ansal properties infrastructure
ANTGRAPHIC,Antarctica Limited,antarctica
ANTHEM,Anthem Biosciences Limited,anthem biosciences
ANUHPHR,Anuh Pharma Limited,anuh pharma
ANUP,The Anup Engineering Limited,the anup engineering
ANURAS,Anupam Rasayan India Limited,anupam rasayan
APARINDS,Apar Industries Limited,apar
APCL,Anjani Portland Cement Limited,anjani portland cement
APCOTEXIND,Apcotex Industries Limited,apcotex
APEX,Apex Frozen Foods Limited,apex frozen foods
APLAPOLLO,APL Apollo Tubes Limited,apl apollo tubes
APLLTD,Alembic Pharmaceuticals Limited,alembic pharmaceuticals
APOLLO,Apollo Micro Systems Limited,apollo micro systems
APOLLOHOSP,Apollo Hospitals Enterprise Limited,apollo hospitals enterprise
APOLLOPIPE,Apollo Pipes Limited,apollo pipes
APOLLOTYRE,Apollo Tyres Limited,apollo tyres
APOLSINHOT,Apollo Sindoori Hotels Limited,apollo sindoori hotels
APTECHT,Aptech Limited,aptech
APTUS,Aptus Value Housing Finance India Limited,aptus value housing finance
ARCHIDPLY,Archidply Industries Limited,archidply
ARCHIES,Archies Limited,archies
ARE&M,Amara Raja Energy & Mobility Limited,amara raja energy mobility
ARENTERP,Rajdarshan Industries Limited,rajdarshan
ARFIN,Arfin India Limited,arfin
ARIES,Aries Agro Limited,aries agro
ARIHANTCAP,Arihant Capital Markets Limited,arihant capital markets
ARIHANTSUP,Arihant Superstructures Limited,arihant superstructures
ARISINFRA,Arisinfra Solutions Limited,arisinfra solutions
ARKADE,Arkade Developers Limited,arkade developers
ARMANFIN,Arman Financial Services Limited,arman financial services
AROGRANITE,Aro Granite Industries Limited,aro granite
ARROWGREEN,Arrow Greentech Limited,arrow greentech
ARSHIYA,Arshiya Limited,arshiya
ARTEMISMED,Artemis Medicare Services Limited,artemis medicare services
ARTNIRMAN,Art Nirman Limited,art nirman
ARVEE,Arvee Laboratories (India) Limited,arvee laboratories
ARVIND,Arvind Limited,arvind
ARVINDFASN,Arvind Fashions Limited,arvind fashions
ARVSMART,Arvind SmartSpaces Limited,arvind smartspaces
ASAHIINDIA,Asahi India Glass Limited,asahi india glass
ASAHISONG,Asahi Songwon Colors Limited,asahi songwon colors
ASAL,Automotive Stampings and Assemblies Limited,automotive stampings and assemblies
ASALCBR,Associated Alcohols & Breweries Ltd.,associated alcohols breweries
ASHAPURMIN,Ashapura Minechem Limited,ashapura minechem
ASHIANA,Ashiana Housing Limited,ashiana housing
ASHIMASYN,Ashima Limited,ashima
ASHOKA,Ashoka Buildcon Limited,ashoka buildcon
ASHOKAMET,Ashoka Metcast Limited,ashoka metcast
ASHOKLEY,Ashok Leyland Limited,ashok leyland
ASIANENE,Asian Energy Services Limited,asian energy services
ASIANHOTNR,Asian Hotels (North) Limited,asian hotels north
ASIANPAINT,Asian Paints Limited,asian paints
ASIANTILES,Asian Granito India Limited,asian granito
ASKAUTOLTD,ASK Automotive Limited,ask automotive
ASMS,Bartronics India Limited,bartronics
ASPINWALL,Aspinwall and Company Limited,aspinwall and
ASTEC,Astec LifeSciences Limited,astec lifesciences
ASTERDM,Aster DM Healthcare Limited,aster dm healthcare
ASTRAL,Astral Limited,astral
ASTRAMICRO,Astra Microwave Products Limited,astra microwave products
ASTRAZEN,AstraZeneca Pharma India Limited,astrazeneca pharma
ASTRON,Astron Paper & Board Mill Limited,astron paper board mill
ATALREAL,Atal Realtech Limited,atal realtech
ATAM,Atam Valves Limited,atam valves
ATGL,Adani Total Gas Limited,adani total gas
ATHERENERG,Ather Energy Limited,ather energy
ATL,Allcargo Terminals Limited,allcargo terminals
ATLANTAA,ATLANTAA LIMITED,atlantaa
ATLASCYCLE,Atlas Cycles (Haryana) Limited,atlas cycles haryana
ATUL,Atul Limited,atul
ATULAUTO,Atul Auto Limited,atul auto
AUBANK,AU Small Finance Bank Limited,au small finance bank
AURIONPRO,Aurionpro Solutions Limited,aurionpro solutions
AUROPHARMA,Aurobindo Pharma Limited,aurobindo pharma
AURUM,Aurum PropTech Limited,aurum proptech
AUSOMENT,Ausom Enterprise Limited,ausom enterprise
AUTOAXLES,Automotive Axles Limited,automotive axles
AUTOIND,Autoline Industries Limited,autoline
AVADHSUGAR,Avadh Sugar & Energy Limited,avadh sugar energy
AVALON,Avalon Technologies Limited,avalon technologies
AVANTEL,Avantel Limited,avantel
AVANTIFEED,Avanti Feeds Limited,avanti feeds
AVG,AVG Logistics Limited,avg logistics
AVL,Aditya Vision Limited,aditya vision
AVONMORE,Avonmore Capital & Management Services Limited,avonmore capital management services
AVROIND,AVRO INDIA LIMITED,avro
AVTNPL,AVT Natural Products Limited,avt natural products
AWFIS,Awfis Space Solutions Limited,awfis space solutions
AWHCL,Antony Waste Handling Cell Limited,antony waste handling cell
AWL,AWL Agri Business Limited,awl agri business
AXISBANK,Axis Bank Limited,axis bank
AXISCADES,AXISCADES Technologies Limited,axiscades technologies
AXITA,Axita Cotton Limited,axita cotton
AYMSYNTEX,AYM Syntex Limited,aym syntex
AZAD,Azad Engineering Limited,azad engineering
BAFNAPH,Bafna Pharmaceuticals Limited,bafna pharmaceuticals
BAGFILMS,B.A.G Films and Media Limited,b a g films and media
BAIDFIN,Baid Finserv Limited,baid finserv
BAJAJ-AUTO,Bajaj Auto Limited,bajaj auto
BAJAJCON,Bajaj Consumer Care Limited,bajaj consumer care
BAJAJELEC,Bajaj Electricals Limited,bajaj electricals
BAJAJFINSV,Bajaj Finserv Limited,bajaj finserv
BAJAJHCARE,Bajaj Healthcare Limited,bajaj healthcare
BAJAJHFL,Bajaj Housing Finance Limited,bajaj housing finance
BAJAJHIND,Bajaj Hindusthan Sugar Limited,bajaj hindusthan sugar
BAJAJHLDNG,Bajaj Holdings & Investment Limited,bajaj holdings investment
BAJAJINDEF,Indef Manufacturing Limited,indef manufacturing
BAJEL,Bajel Projects Limited,bajel projects
BAJFINANCE,Bajaj Finance Limited,bajaj finance
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,shree tirupati balajee agro trading
BALAJITELE,Balaji Telefilms Limited,balaji telefilms
BALAMINES,Balaji Amines Limited,balaji amines
BALAXI,BALAXI PHARMACEUTICALS LIMITED,balaxi pharmaceuticals
BALKRISHNA,Balkrishna Paper Mills Limited,balkrishna paper mills
BALKRISIND,Balkrishna Industries Limited,balkrishna
BALMLAWRIE,Balmer Lawrie & Company Limited,balmer lawrie
BALPHARMA,Bal Pharma Limited,bal pharma
BALRAMCHIN,Balrampur Chini Mills Limited,balrampur chini mills
BALUFORGE,Balu Forge Industries Limited,balu forge
BANARBEADS,Banaras Beads Limited,banaras beads
BANARISUG,Bannari Amman Sugars Limited,bannari amman sugars
BANCOINDIA,Banco Products (I) Limited,banco products i
BANDHANBNK,Bandhan Bank Limited,bandhan bank
BANG,Bang Overseas Limited,bang overseas
BANKA,Banka BioLoo Limited,banka bioloo
BANKBARODA,Bank of Baroda,bank of baroda
BANKINDIA,Bank of India,bank of
BANSALWIRE,Bansal Wire Industries Limited,bansal wire
BANSWRAS,Banswara Syntex Limited,banswara syntex
BARBEQUE,Barbeque Nation Hospitality Limited,barbeque nation hospitality
BASF,BASF India Limited,basf
BASML,Bannari Amman Spinning Mills Limited,bannari amman spinning mills
BATAINDIA,Bata India Limited,bata
BAYERCROP,Bayer Cropscience Limited,bayer cropscience
BBL,Bharat Bijlee Limited,bharat bijlee
BBOX,Black Box Limited,black box
BBTC,Bombay Burmah Trading Corporation Limited,bombay burmah trading corporation
BBTCL,B&B Triplewall Containers Limited,b b triplewall containers
BCG,Brightcom Group Limited,brightcom group
BCLIND,Bcl Industries Limited,bcl
BCONCEPTS,Brand Concepts Limited,brand concepts
BDL,Bharat Dynamics Limited,bharat dynamics
BEARDSELL,Beardsell Limited,beardsell
BECTORFOOD,Mrs. Bectors Food Specialities Limited,mrs bectors food specialities
BEDMUTHA,Bedmutha Industries Limited,bedmutha
BEL,Bharat Electronics Limited,bharat electronics
BELLACASA,Bella Casa Fashion & Retail Limited,bella casa fashion retail
BELRISE,Belrise Industries Limited,belrise
BEML,BEML Limited,beml
BEPL,Bhansali Engineering Polymers Limited,bhansali engineering polymers
BERGEPAINT,Berger Paints (I) Limited,berger paints i
BESTAGRO,Best Agrolife Limited,best agrolife
BFINVEST,BF Investment Limited,bf investment
BFUTILITIE,BF Utilities Limited,bf utilities
BGRENERGY,BGR Energy Systems Limited,bgr energy systems
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,bhagiradha chemicals
BHAGERIA,Bhageria Industries Limited,bhageria
BHAGYANGR,Bhagyanagar India Limited,bhagyanagar
BHANDARI,Bhandari Hosiery Exports Limited,bhandari hosiery exports
BHARATFORG,Bharat Forge Limited,bharat forge
BHARATGEAR,Bharat Gears Limited,bharat gears
BHARATRAS,Bharat Rasayan Limited,bharat rasayan
BHARATSE,Bharat Seats Limited,bharat seats
BHARATWIRE,Bharat Wire Ropes Limited,bharat wire ropes
BHARTIARTL,Bharti Airtel Limited,bharti airtel
BHARTIHEXA,Bharti Hexacom Limited,bharti hexacom
BHEL,Bharat Heavy Electricals Limited,bharat heavy electricals
BIGBLOC,Bigbloc Construction Limited,bigbloc construction
BIKAJI,Bikaji Foods International Limited,bikaji foods international
BIL,Bhartiya International Limited,bhartiya international
BILVYAPAR,BIL VYAPAR LIMITED,bil vyapar
BIOCON,Biocon Limited,biocon
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,biofil chemicals pharmaceuticals
BIRLACABLE,Birla Cable Limited,birla cable
BIRLACORPN,Birla Corporation Limited,birla corporation
BIRLAMONEY,Aditya Birla Money Limited,aditya birla money
BIRLANU,BirlaNu Limited,birlanu
BLACKBUCK,Zinka Logistics Solutions Limited,zinka logistics solutions
BLAL,BEML Land Assets Limited,beml land assets
BLBLIMITED,BLB Limited,blb
BLISSGVS,Bliss GVS Pharma Limited,bliss gvs pharma
BLKASHYAP,B. L. Kashyap and Sons Limited,b l kashyap and sons
BLS,BLS International Services Limited,bls international services
BLSE,BLS E-Services Limited,bls e services
BLUECOAST,Blue Coast Hotels Limited,blue coast hotels
BLUEDART,Blue Dart Express Limited,blue dart express
BLUEJET,Blue Jet Healthcare Limited,blue jet healthcare
BLUESTARCO,Blue Star Limited,blue star
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,bluestone jewellery and lifestyle
BLUSPRING,Bluspring Enterprises Limited,bluspring enterprises
BODALCHEM,Bodal Chemicals Limited,bodal chemicals
BOHRAIND,Bohra Industries Limited,bohra
BOMDYEING,Bombay Dyeing & Mfg Company Limited,bombay dyeing mfg
BORANA,Borana Weaves Limited,borana weaves
BOROLTD,Borosil Limited,borosil
BORORENEW,BOROSIL RENEWABLES LIMITED,borosil renewables
BOROSCI,Borosil Scientific Limited,borosil scientific
BOSCHLTD,Bosch Limited,bosch
BPCL,Bharat Petroleum Corporation Limited,bharat petroleum corporation
BPL,BPL Limited,bpl
BRIGADE,Brigade Enterprises Limited,brigade enterprises
BRIGHOTEL,Brigade Hotel Ventures Limited,brigade hotel ventures
BRITANNIA,Britannia Industries Limited,britannia
BRNL,Bharat Road Network Limited,bharat road network
BROOKS,Brooks Laboratories Limited,brooks laboratories
BSE,BSE Limited,bse
BSHSL,Bombay Super Hybrid Seeds Limited,bombay super hybrid seeds
BSL,BSL Limited,bsl
BSOFT,BIRLASOFT LIMITED,birlasoft
BTML,Bodhi Tree Multimedia Limited,bodhi tree multimedia
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,butterfly gandhimathi appliances
BVCL,Barak Valley Cements Limited,barak valley cements
BYKE,The Byke Hospitality Ltd,the byke hospitality
CALSOFT,California Software Company Limited,california software
CAMLINFINE,Camlin Fine Sciences Limited,camlin fine sciences
CAMPUS,Campus Activewear Limited,campus activewear
CAMS,Computer Age Management Services Limited,computer age management services
CANBK,Canara Bank,canara bank
CANFINHOME,Can Fin Homes Limited,can fin homes
CANTABIL,Cantabil Retail India Limited,cantabil retail
CAPACITE,Capacit'e Infraprojects Limited,capacit e infraprojects
CAPITALSFB,Capital Small Finance Bank Limited,capital small finance bank
CAPLIPOINT,Caplin Point Laboratories Limited,caplin point laboratories
CAPTRUST,Capital Trust Limited,capital trust
CARBORUNIV,Carborundum Universal Limited,carborundum universal
CARERATING,CARE Ratings Limited,care ratings
CARRARO,Carraro India Limited,carraro
CARTRADE,Cartrade Tech Limited,cartrade tech
CARYSIL,CARYSIL LIMITED,carysil
CASTROLIND,Castrol India Limited,castrol
CCCL,Consolidated Construction Consortium Limited,consolidated construction consortium
CCHHL,Country Club Hospitality & Holidays Limited,country club hospitality holidays
CCL,CCL Products (India) Limited,ccl products
CDSL,Central Depository Services (India) Limited,central depository services
CEATLTD,CEAT Limited,ceat
CEIGALL,Ceigall India Limited,ceigall
CELEBRITY,Celebrity Fashions Limited,celebrity fashions
CELLO,Cello World Limited,cello world
CENTENKA,Century Enka Limited,century enka
CENTEXT,Century Extrusions Limited,century extrusions
CENTRALBK,Central Bank of India,central bank of
CENTRUM,Centrum Capital Limited,centrum capital
CENTUM,Centum Electronics Limited,centum electronics
CENTURYPLY,Century Plyboards (India) Limited,century plyboards
CERA,Cera Sanitaryware Limited,cera sanitaryware
CEREBRAINT,Cerebra Integrated Technologies Limited,cerebra integrated technologies
CESC,CESC Limited,cesc
CEWATER,Concord Enviro Systems Limited,concord enviro systems
CGCL,Capri Global Capital Limited,capri global capital
CGPOWER,CG Power and Industrial Solutions Limited,cg power and industrial solutions
CHALET,Chalet Hotels Limited,chalet hotels
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,chambal fertilizers chemicals
CHEMBOND,Chembond Material Technologies Limited,chembond material technologies
CHEMBONDCH,Chembond Chemicals Limited,chembond chemicals
CHEMCON,Chemcon Speciality Chemicals Limited,chemcon speciality chemicals
CHEMFAB,Chemfab Alkalis Limited,chemfab alkalis
CHEMPLASTS,Chemplast Sanmar Limited,chemplast sanmar
CHENNPETRO,Chennai Petroleum Corporation Limited,chennai petroleum corporation
CHEVIOT,Cheviot Company Limited,cheviot
CHOICEIN,Choice International Limited,choice international
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,cholamandalam investment and finance
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,cholamandalam financial holdings
CIEINDIA,CIE Automotive India Limited,cie automotive
CIFL,Capital India Finance Limited,capital india finance
CIGNITITEC,Cigniti Technologies Limited,cigniti technologies
CINELINE,Cineline India Limited,cineline
CINEVISTA,Cinevista Limited,cinevista
CIPLA,Cipla Limited,cipla
CLEAN,Clean Science and Technology Limited,clean science and technology
CLEDUCATE,CL Educate Limited,cl educate
CLSEL,Chaman Lal Setia Exports Limited,chaman lal setia exports
CMSINFO,CMS Info Systems Limited,cms info systems
COALINDIA,Coal India Limited,coal
COASTCORP,Coastal Corporation Limited,coastal corporation
COCHINSHIP,Cochin Shipyard Limited,cochin shipyard
COFFEEDAY,Coffee Day Enterprises Limited,coffee day enterprises
COFORGE,Coforge Limited,coforge
COHANCE,Cohance Lifesciences Limited,cohance lifesciences
COLPAL,Colgate Palmolive (India) Limited,colgate palmolive
COMPINFO,Compuage Infocom Limited,compuage infocom
COMPUSOFT,Compucom Software Limited,compucom software
COMSYN,Commercial Syn Bags Limited,commercial syn bags
CONCOR,Container Corporation of India Limited,container corporation of
CONCORDBIO,Concord Biotech Limited,concord biotech
CONFIPET,Confidence Petroleum India Limited,confidence petroleum
CONSOFINVT,Consolidated Finvest & Holdings Limited,consolidated finvest holdings
CONTROLPR,Control Print Limited,control print
CORALFINAC,Coral India Finance & Housing Limited,coral india finance housing
CORDSCABLE,Cords Cable Industries Limited,cords cable
COROMANDEL,Coromandel International Limited,coromandel international
COSMOFIRST,COSMO FIRST LIMITED,cosmo first
COUNCODOS,Country Condo's Limited,country condo s
CPCAP,CP Capital Limited,cp capital
CPEDU,Career Point Edutech Limited,career point edutech
CPPLUS,Aditya Infotech Limited,aditya infotech
CRAFTSMAN,Craftsman Automation Limited,craftsman automation
CREATIVE,Creative Newtech Limited,creative newtech
CREATIVEYE,Creative Eye Limited,creative eye
CREDITACC,CREDITACCESS GRAMEEN LIMITED,creditaccess grameen
CREST,Crest Ventures Limited,crest ventures
CRISIL,CRISIL Limited,crisil
CRIZAC,Crizac Limited,crizac
CROMPTON,Crompton Greaves Consumer Electricals Limited,crompton greaves consumer electricals
CROWN,Crown Lifters Limited,crown lifters
CSBBANK,CSB Bank Limited,csb bank
CSLFINANCE,CSL Finance Limited,csl finance
CTE,Cambridge Technology Enterprises Limited,cambridge technology enterprises
CUB,City Union Bank Limited,city union bank
CUBEXTUB,Cubex Tubings Limited,cubex tubings
CUMMINSIND,Cummins India Limited,cummins
CUPID,Cupid Limited,cupid
CURAA,Cura Technologies Limited,cura technologies
CYBERMEDIA,Cyber Media (India) Limited,cyber media
CYBERTECH,Cybertech Systems And Software Limited,cybertech systems and software
CYIENT,Cyient Limited,cyient
CYIENTDLM,Cyient DLM Limited,cyient dlm
DABUR,Dabur India Limited,dabur
DALBHARAT,Dalmia Bharat Limited,dalmia bharat
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,dalmia bharat sugar and
DAMCAPITAL,Dam Capital Advisors Limited,dam capital advisors
DAMODARIND,Damodar Industries Limited,damodar
DANGEE,Dangee Dums Limited,dangee dums
DATAMATICS,Datamatics Global Services Limited,datamatics global services
DATAPATTNS,Data Patterns (India) Limited,data patterns
DAVANGERE,Davangere Sugar Company Limited,davangere sugar
DBCORP,D.B.Corp Limited,d b corp
DBEIL,Deepak Builders & Engineers India Limited,deepak builders engineers
DBL,Dilip Buildcon Limited,dilip buildcon
DBOL,Dhampur Bio Organics Limited,dhampur bio organics
DBREALTY,Valor Estate Limited,valor estate
DBSTOCKBRO,DB (International) Stock Brokers Limited,db international stock brokers
DCAL,Dishman Carbogen Amcis Limited,dishman carbogen amcis
DCBBANK,DCB Bank Limited,dcb bank
DCI,Dc Infotech And Communication Limited,dc infotech and communication
DCM,DCM  Limited,dcm
DCMFINSERV,DCM Financial Services Limited,dcm financial services
DCMNVL,DCM Nouvelle Limited,dcm nouvelle
DCMSHRIRAM,DCM Shriram Limited,dcm shriram
DCMSRIND,DCM Shriram Industries Limited,dcm shriram
DCW,DCW Limited,dcw
DCXINDIA,DCX Systems Limited,dcx systems
DDEVPLSTIK,Ddev Plastiks Industries Limited,ddev plastiks
DECCANCE,Deccan Cements Limited,deccan cements
DEEDEV,DEE Development Engineers Limited,dee development engineers
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,deepak fertilizers and petrochemicals corporation
DEEPAKNTR,Deepak Nitrite Limited,deepak nitrite
DEEPINDS,Deep Industries Limited,deep
DELHIVERY,Delhivery Limited,delhivery
DELPHIFX,DELPHI WORLD MONEY LIMITED,delphi world money
DELTACORP,Delta Corp Limited,delta corp
DELTAMAGNT,Delta Manufacturing Limited,delta manufacturing
DEN,Den Networks Limited,den networks
DENORA,De Nora India Limited,de nora
DENTA,Denta Water and Infra Solutions Limited,denta water and infra solutions
DEVIT,Dev Information Technology Limited,dev information technology
DEVYANI,Devyani International Limited,devyani international
DGCONTENT,Digicontent Limited,digicontent
DHAMPURSUG,Dhampur Sugar Mills Limited,dhampur sugar mills
DHANBANK,Dhanlaxmi Bank Limited,dhanlaxmi bank
DHANI,Dhani Services Limited,dhani services
DHANUKA,Dhanuka Agritech Limited,dhanuka agritech
DHARAN,DHARAN INFRA-EPC LIMITED,dharan infra epc
DHARMAJ,Dharmaj Crop Guard Limited,dharmaj crop guard
DHRUV,Dhruv Consultancy Services Limited,dhruv consultancy services
DHUNINV,Dhunseri Investments Limited,dhunseri investments
DIACABS,Diamond Power Infrastructure Limited,diamond power infrastructure
DIAMINESQ,Diamines & Chemicals Limited,diamines chemicals
DIAMONDYD,Prataap Snacks Limited,prataap snacks
DICIND,DIC India Limited,dic
DIFFNKG,Diffusion Engineers Limited,diffusion engineers
DIGIDRIVE,Digidrive Distributors Limited,digidrive distributors
DIGISPICE,DiGiSPICE Technologies Limited,digispice technologies
DIGITIDE,Digitide Solutions Limited,digitide solutions
DIGJAMLMTD,Digjam Limited,digjam
DIL,Debock Industries Limited,debock
DISHTV,Dish TV India Limited,dish tv
DIVGIITTS,Divgi Torqtransfer Systems Limited,divgi torqtransfer systems
DIVISLAB,Divi's Laboratories Limited,divi s laboratories
DIXON,Dixon Technologies (India) Limited,dixon technologies
DJML,DJ Mediaprint & Logistics Limited,dj mediaprint logistics
DLF,DLF Limited,dlf
DLINKINDIA,D-Link (India) Limited,d link
DMART,Avenue Supermarts Limited,avenue supermarts
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,dmcc speciality chemicals
DNAMEDIA,Diligent Media Corporation Limited,diligent media corporation
DODLA,Dodla Dairy Limited,dodla dairy
DOLATALGO,Dolat Algotech Limited,dolat algotech
DOLLAR,Dollar Industries Limited,dollar
